Online boarding,Type of Travel,Inflight wifi service,Class,Customer Type,Inflight entertainment,Seat comfort,Checkin service,Cleanliness,Leg room service,Departure/Arrival time convenient,Ease of Online booking,Gate location,On-board service,Food and drink,Inflight service,Baggage handling,Departure Delay in Minutes,satisfaction
2,1,2,1,0,3,3,2,3,1,5,2,3,1,3,2,2,0,0
5,0,1,0,0,2,4,5,5,2,1,1,1,2,5,2,2,0,1
4,0,4,1,1,3,5,4,3,4,4,4,3,5,3,4,4,21,0
3,0,4,0,0,4,4,4,4,4,3,3,3,4,4,4,4,4,0
3,0,3,1,1,1,1,3,1,5,0,3,3,3,1,3,2,0,0
4,0,4,1,0,4,4,3,4,3,1,1,1,1,4,2,2,3,0
1,1,1,1,0,3,3,5,3,2,5,1,3,4,3,5,4,0,0
5,0,5,0,0,4,5,3,5,4,5,5,5,4,2,4,4,4,1
1,1,4,1,0,5,1,1,1,5,5,4,3,3,4,4,4,7,0
4,0,3,0,0,4,1,5,3,4,3,3,3,4,4,4,4,0,1
5,0,2,0,0,4,5,3,5,4,2,2,2,4,4,4,4,17,1
3,0,1,2,0,2,4,2,4,1,4,4,4,2,2,2,2,14,0
3,1,3,1,0,3,3,5,3,5,5,3,2,4,3,5,4,0,0
4,0,4,1,0,4,4,2,4,2,4,4,4,2,4,1,4,0,1
4,0,4,0,1,2,2,4,2,5,4,4,3,4,2,5,4,4,1
4,1,4,1,0,3,1,4,3,2,0,4,3,3,3,5,5,15,0
2,0,3,0,0,3,3,1,3,3,1,1,1,3,3,3,3,0,0
3,0,3,0,0,3,3,3,3,2,2,4,2,2,3,4,2,0,0
3,1,2,1,0,1,5,2,5,2,0,2,2,1,2,1,1,0,0
5,0,2,0,0,5,5,3,5,2,2,2,2,5,5,5,5,0,1
4,0,3,0,0,5,5,3,5,5,1,3,3,5,2,5,5,0,1
3,0,3,0,0,3,3,2,3,2,3,3,3,4,3,2,2,0,0
3,0,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0
4,0,2,0,0,4,4,3,4,1,2,2,2,4,4,5,1,0,1
1,1,4,1,0,3,1,1,1,3,4,4,3,3,4,3,4,29,1
4,1,4,1,0,1,1,5,1,4,5,4,5,3,1,4,4,0,0
3,0,3,0,0,3,2,3,4,3,1,1,1,3,5,3,3,0,0
3,1,3,0,0,1,5,3,3,5,5,5,1,1,2,1,1,0,0
3,0,3,1,1,5,5,1,5,1,3,3,3,2,5,3,3,39,0
3,1,3,1,0,5,5,4,5,4,4,3,3,2,5,4,3,7,0
5,0,1,0,0,5,5,5,3,5,1,1,1,5,3,5,5,1,1
4,0,2,0,0,3,4,3,4,4,2,2,2,3,2,3,3,0,1
5,0,0,0,0,4,5,4,3,1,4,0,4,4,4,4,1,0,1
4,1,4,0,0,3,4,3,4,5,5,5,2,3,2,3,3,0,0
4,0,5,0,0,2,5,5,3,2,5,5,5,2,4,2,2,0,1
3,0,1,0,0,1,4,1,4,1,3,3,3,1,3,1,1,13,0
1,0,1,0,1,5,5,4,5,4,1,1,1,4,5,4,4,0,0
2,0,2,1,0,2,2,1,2,4,4,4,4,2,2,1,2,0,0
4,0,4,0,0,5,5,4,3,5,4,4,4,5,2,5,5,0,1
4,1,4,1,0,1,1,4,1,4,2,4,4,3,1,4,4,17,0
1,1,1,1,0,4,4,4,4,2,4,1,4,5,4,4,5,105,0
4,0,3,1,1,5,5,2,5,4,4,4,4,4,5,4,4,0,0
5,0,2,0,0,3,1,5,1,4,2,2,2,3,4,3,3,0,1
3,1,2,1,0,3,4,3,2,2,3,2,3,3,5,3,3,0,0
4,0,2,0,0,4,4,4,4,5,2,2,2,3,4,3,4,0,1
5,0,2,0,0,3,4,4,3,4,2,4,2,3,2,3,3,27,1
0,0,0,1,1,2,2,3,2,3,0,0,5,4,2,5,5,0,1
5,1,3,1,0,4,4,4,3,2,5,2,4,4,3,4,4,19,0
4,0,2,0,0,5,5,3,4,5,5,2,2,5,2,5,5,0,1
5,0,5,2,0,5,5,1,5,4,5,5,5,1,5,3,5,12,1
2,0,2,1,1,5,5,2,5,3,2,2,3,4,5,4,3,51,0
2,1,2,1,0,3,5,2,3,4,1,2,3,1,3,2,2,0,0
5,0,5,1,0,1,5,5,5,1,1,1,1,1,5,4,4,162,1
5,0,5,1,0,5,4,5,5,1,1,4,1,5,5,3,2,15,1
4,0,3,0,0,4,5,4,3,4,3,3,3,4,4,4,4,7,1
4,0,0,0,0,4,5,4,5,4,1,1,1,4,3,4,4,0,1
4,1,3,1,0,4,4,3,3,4,4,4,3,4,4,4,4,0,0
4,0,5,0,0,4,5,5,5,4,5,5,5,4,2,4,4,24,1
3,0,4,0,0,3,3,5,3,2,4,4,4,3,3,4,4,0,1
3,0,3,0,0,3,3,2,3,4,5,5,5,2,3,3,3,0,0
4,0,1,0,0,4,5,5,4,4,1,1,1,4,2,4,4,0,1
4,0,4,0,1,3,3,4,3,5,3,4,3,4,3,3,4,0,0
4,0,3,0,0,5,4,4,4,5,3,5,3,4,4,3,4,141,1
4,0,4,0,0,4,4,2,4,3,1,1,1,4,2,4,4,0,0
1,0,5,1,0,5,1,3,4,5,3,3,3,5,2,5,5,0,1
3,1,1,1,0,1,4,4,3,1,5,1,2,1,4,1,1,1,0
3,1,2,1,0,4,3,3,4,3,3,3,3,4,5,4,1,0,0
5,0,1,0,0,4,4,5,2,4,1,1,1,4,3,4,4,0,1
4,1,4,1,0,1,1,5,1,2,4,4,3,4,1,5,4,0,0
3,1,1,1,0,5,1,1,2,1,4,1,3,5,3,5,5,0,0
4,0,2,0,0,4,4,3,4,4,2,2,2,4,4,4,4,6,1
3,0,3,1,0,3,3,4,3,5,4,4,4,2,3,4,4,15,0
2,1,2,0,0,1,1,3,1,3,3,2,2,1,1,2,5,0,0
3,1,4,1,0,1,1,5,1,3,5,3,4,5,1,4,4,3,1
1,1,1,1,0,2,2,3,2,5,5,1,1,3,2,4,5,34,0
2,1,2,1,0,2,2,2,2,4,4,2,3,3,2,1,2,0,0
1,0,1,1,0,1,1,4,1,5,5,5,5,2,1,4,3,0,0
3,1,3,1,0,2,2,4,2,3,2,3,3,3,2,3,3,6,0
5,1,4,1,0,2,2,3,2,2,0,5,3,4,2,5,4,0,1
0,1,2,1,0,2,5,4,2,5,5,0,1,5,2,4,4,0,0
5,0,3,0,0,4,4,3,5,4,3,3,3,4,4,4,4,0,1
5,1,1,1,0,3,5,3,3,2,5,2,2,3,3,3,3,0,0
3,0,3,0,0,2,4,4,2,2,4,4,4,2,5,2,3,0,0
2,1,2,0,0,1,1,5,1,5,3,2,3,4,1,5,2,0,0
5,0,5,0,0,5,5,3,4,5,5,5,5,5,5,5,5,17,1
4,0,5,0,0,5,4,5,3,5,5,5,5,5,5,5,5,0,1
2,0,2,1,0,2,2,2,2,2,4,2,4,3,2,3,3,20,0
5,0,4,0,0,5,5,3,5,3,4,1,4,1,5,3,1,0,1
2,1,2,1,0,2,2,3,2,2,5,2,2,5,2,5,4,2,0
1,0,2,1,0,2,1,3,2,5,2,2,2,3,2,4,4,0,0
2,1,2,1,0,4,4,4,4,5,5,2,4,4,4,5,5,0,0
1,0,2,0,0,5,2,2,3,5,2,2,2,5,2,5,5,1,1
4,1,2,1,0,1,5,4,3,2,5,2,2,1,3,1,1,23,0
3,0,4,0,0,3,4,4,3,3,3,3,3,3,3,3,4,7,0
4,0,5,0,0,4,4,4,4,4,5,5,5,4,4,4,4,0,1
3,1,4,1,0,1,3,3,1,4,2,4,3,1,4,1,2,0,0
3,0,2,0,0,2,3,4,4,3,4,3,4,2,5,2,2,0,0
5,0,5,1,0,5,5,1,5,2,3,3,3,5,5,1,4,31,1
1,1,2,1,0,3,3,2,3,1,1,1,4,1,3,3,4,97,0
1,0,2,0,0,4,5,4,1,4,2,2,2,4,1,4,4,0,1
1,1,1,1,0,2,1,4,2,3,4,1,2,4,2,5,5,16,0
1,1,1,1,0,1,1,4,1,3,4,1,4,3,1,3,3,0,0
5,0,5,2,0,4,4,4,4,5,1,2,1,5,4,3,2,0,1
2,1,2,2,0,4,4,3,4,3,3,2,5,4,4,1,4,20,0
2,1,2,1,0,3,3,3,3,4,5,2,3,4,3,5,4,0,0
2,1,2,1,0,5,1,3,5,4,0,2,3,3,5,1,3,4,0
4,0,2,0,0,4,5,3,4,4,2,2,2,4,5,4,4,0,1
2,1,2,1,0,1,1,4,1,4,4,2,3,4,1,4,5,0,0
3,1,2,1,0,4,2,2,2,3,3,2,3,5,2,3,3,0,0
5,0,3,0,0,4,5,5,3,4,4,3,3,4,4,4,4,10,1
3,1,2,1,0,5,4,3,2,2,2,2,4,5,2,5,5,0,0
4,0,3,0,0,2,3,1,2,2,3,3,3,2,2,2,3,0,0
2,0,2,0,1,3,3,4,3,5,2,2,2,3,3,4,5,11,0
1,0,1,1,1,3,3,3,3,5,1,1,1,1,3,2,1,0,0
5,0,1,0,0,5,4,4,4,5,1,3,1,5,3,5,5,0,1
5,0,5,0,0,5,5,1,5,3,5,5,5,2,5,2,1,9,1
4,0,4,0,0,4,5,1,2,4,4,4,4,4,1,4,4,0,1
3,0,2,0,0,2,2,4,3,2,4,2,4,2,1,2,2,0,0
3,0,3,0,1,4,4,5,4,4,3,3,5,5,4,5,4,29,0
2,0,4,0,0,4,3,2,1,4,5,4,4,4,4,4,4,0,1
4,1,2,1,0,3,4,4,3,3,4,3,4,3,2,3,3,99,0
3,1,3,2,0,1,1,5,1,2,5,3,2,4,1,5,4,9,0
4,1,2,1,0,3,5,1,1,5,4,5,1,3,2,3,3,0,0
5,0,5,1,1,4,4,3,4,5,0,5,2,3,4,2,5,18,1
3,0,3,1,0,3,3,3,3,2,4,4,4,2,3,3,3,0,0
5,0,5,0,0,5,3,3,5,5,5,5,5,2,5,3,4,9,1
4,0,4,0,0,4,4,3,4,2,4,4,4,4,4,3,4,0,0
3,1,3,1,0,1,1,1,1,2,3,3,4,2,1,5,3,24,0
5,1,1,0,0,4,4,5,3,1,4,1,1,4,5,4,4,37,0
5,0,1,0,0,5,5,4,5,5,1,1,1,5,3,5,5,0,1
4,0,4,0,0,4,5,3,3,4,4,4,4,4,2,4,4,66,1
3,0,3,0,0,3,3,4,3,4,1,1,1,3,3,4,3,53,0
4,0,4,2,0,4,4,3,4,4,1,5,5,2,4,4,2,19,1
2,0,2,1,1,5,5,1,5,5,2,2,5,2,5,4,5,4,0
2,1,2,1,0,1,1,4,1,2,2,2,4,3,1,3,4,0,0
3,0,3,1,1,4,4,2,4,5,3,3,4,3,4,4,4,0,0
4,0,4,1,0,4,4,1,4,3,3,3,3,2,4,3,3,0,0
1,0,5,0,0,5,5,5,5,5,5,5,5,5,1,5,5,0,1
4,0,2,0,0,4,4,4,3,4,2,2,2,4,4,4,4,0,1
3,0,2,0,0,2,4,4,1,2,4,4,4,2,3,2,2,0,0
2,0,2,1,1,4,3,1,4,4,2,2,3,1,4,4,4,7,0
3,1,3,1,0,1,1,4,1,2,4,3,3,5,1,4,4,0,0
3,0,2,2,0,3,4,4,3,2,5,3,5,3,2,3,3,28,0
4,0,4,1,0,4,4,5,4,4,2,4,4,4,4,5,3,0,1
5,0,2,0,0,5,5,5,5,4,2,2,2,3,5,4,4,36,1
5,1,4,1,0,5,4,4,5,4,4,4,1,5,4,5,5,0,0
3,0,3,0,1,4,4,5,4,5,3,3,4,4,4,5,5,12,0
5,1,4,0,0,4,4,3,3,4,0,4,1,4,5,4,4,13,0
5,0,2,0,0,5,5,4,4,5,2,2,2,5,5,5,5,1,1
4,0,4,1,0,4,4,1,4,2,2,3,3,1,4,3,3,23,0
4,0,2,0,0,2,3,1,4,2,4,3,3,2,4,2,2,0,0
2,0,2,0,0,5,1,3,3,5,2,5,2,5,1,5,3,6,1
5,0,4,0,1,4,4,4,4,2,0,5,3,4,4,4,5,0,1
5,0,4,1,0,5,1,3,1,4,3,3,3,5,2,5,5,0,1
5,0,1,0,0,3,5,5,3,3,1,1,1,3,5,3,3,0,1
3,1,2,1,0,2,5,5,3,2,3,2,3,2,2,2,2,0,0
2,0,3,0,0,3,2,2,2,3,1,1,1,3,2,3,3,15,0
3,1,3,1,0,5,1,3,5,5,5,3,4,5,5,5,4,0,0
4,1,4,1,0,5,5,4,5,5,1,4,3,4,5,3,3,45,0
5,0,0,0,0,3,4,5,5,3,1,1,2,3,5,3,3,39,1
4,0,1,0,0,5,5,5,5,5,1,1,1,5,5,5,4,7,1
3,0,5,1,0,5,3,3,1,5,1,4,1,5,3,5,5,0,1
4,0,3,0,0,4,4,4,4,5,3,3,3,3,4,5,5,209,1
4,0,2,0,0,5,5,4,4,5,2,2,2,5,2,5,5,0,1
4,0,4,0,0,4,3,3,2,4,2,2,2,4,4,4,4,60,0
3,1,3,1,0,1,3,3,3,3,0,3,5,1,3,3,2,0,0
3,0,3,1,1,5,3,3,3,4,5,3,4,5,3,4,1,149,0
2,1,2,1,0,4,4,3,4,3,4,2,3,5,4,4,5,26,0
3,0,1,1,0,1,4,4,2,1,4,4,4,1,3,1,1,12,0
2,0,2,0,0,2,2,3,2,4,5,5,5,2,2,3,3,0,0
2,1,2,2,0,3,3,5,3,2,5,2,3,4,3,5,1,24,0
5,0,5,0,1,4,4,3,4,4,5,5,4,4,4,4,5,11,1
4,1,1,1,0,1,4,4,4,1,5,1,5,1,4,1,1,18,0
4,0,4,1,0,4,4,3,4,4,2,2,2,3,4,4,3,15,0
2,0,2,2,0,2,2,4,2,2,4,1,4,1,2,3,4,5,0
4,1,3,1,0,2,4,4,4,4,1,3,3,4,3,1,3,59,0
4,0,4,0,1,4,2,4,4,4,4,4,3,3,4,4,4,0,1
4,0,4,2,1,1,1,1,1,5,3,4,4,4,1,4,3,35,0
4,0,4,0,0,4,4,5,5,4,4,4,4,4,2,4,4,1,1
5,0,2,0,0,5,5,5,3,5,2,2,2,5,5,5,5,62,1
4,0,3,0,0,4,4,3,3,4,3,3,3,4,3,4,4,23,1
2,0,2,2,0,2,1,4,2,4,5,5,5,3,2,4,4,21,0
4,1,4,1,0,4,4,5,4,4,4,4,5,3,4,4,5,0,1
4,0,4,1,0,4,4,2,4,1,5,5,5,2,4,3,2,3,1
3,0,3,0,0,4,3,3,5,3,3,2,3,4,4,4,4,10,1
5,0,2,0,0,4,5,4,3,4,2,2,2,4,3,4,4,8,1
3,1,3,1,0,5,2,1,5,2,4,3,3,4,5,4,3,0,0
5,0,4,0,0,4,5,5,5,4,4,4,4,4,3,4,4,0,1
5,1,3,1,0,1,5,2,5,3,5,3,3,1,4,1,1,91,0
2,0,3,1,1,2,2,1,2,5,3,2,2,1,2,3,3,113,0
3,0,2,0,0,2,2,3,2,4,1,1,1,2,2,4,3,27,0
4,0,4,1,0,4,4,1,4,5,5,5,5,3,4,2,4,0,1
4,0,2,0,0,4,4,3,4,4,2,2,2,3,4,4,5,28,1
2,0,0,0,0,2,2,3,2,3,1,1,1,5,2,4,5,38,1
1,0,1,0,1,4,2,5,4,4,1,1,5,2,4,2,5,0,0
5,0,5,0,0,4,4,4,3,4,5,5,5,4,5,4,4,83,1
5,0,5,0,0,3,5,5,5,4,5,5,5,4,5,3,4,15,1
4,0,5,0,0,5,4,4,3,5,5,5,5,5,3,5,5,0,1
2,1,2,2,0,2,2,5,2,5,5,2,3,5,2,4,4,0,0
4,0,3,0,0,5,5,3,5,3,3,3,3,4,5,5,4,0,1
3,0,3,1,1,1,1,3,1,5,2,3,3,4,1,3,4,0,0
4,0,4,0,1,4,4,4,4,4,4,4,4,4,4,5,4,0,1
0,1,1,1,0,1,1,3,1,1,4,0,3,3,1,4,3,0,0
5,0,5,0,1,2,2,3,2,4,0,5,1,5,2,4,5,0,1
4,0,3,0,0,3,4,1,3,3,2,4,4,3,3,3,3,0,0
5,0,5,0,0,5,4,4,3,5,5,5,5,5,5,5,5,4,1
2,1,2,1,0,5,2,2,5,5,2,2,2,4,5,3,3,0,0
2,1,2,1,0,1,1,1,1,1,1,2,3,4,1,4,3,16,0
5,0,1,0,0,5,5,5,5,2,1,3,1,3,5,5,4,0,1
2,1,2,1,0,2,2,4,2,5,4,2,3,1,2,4,4,15,0
2,1,2,1,0,5,5,5,5,3,5,2,3,3,5,4,5,8,0
4,0,3,0,0,4,5,4,5,4,3,3,3,4,3,4,4,18,1
3,0,3,1,1,5,5,5,5,5,0,3,1,3,5,3,4,0,0
2,0,2,0,0,2,2,4,2,5,4,4,4,4,2,3,3,0,0
2,1,2,1,0,4,4,3,4,3,4,2,2,4,4,5,4,0,0
5,0,5,0,0,5,3,2,3,5,5,5,5,5,5,5,5,0,1
3,1,3,2,0,1,1,4,1,2,5,3,1,3,1,5,3,0,0
5,0,5,0,1,1,1,4,1,2,3,5,4,5,1,4,4,0,1
4,1,4,1,0,3,3,3,3,2,3,4,1,3,3,5,2,0,0
1,0,1,1,0,1,4,3,1,3,5,5,5,2,1,3,4,0,0
4,0,4,1,0,5,5,3,5,1,4,4,4,4,5,3,4,0,0
4,0,2,0,0,2,4,1,4,2,1,1,1,2,3,2,2,0,0
2,0,2,1,0,2,4,5,1,2,4,4,4,2,4,2,2,12,1
4,1,4,1,0,3,1,4,3,3,5,4,3,5,3,4,4,0,0
4,0,4,0,0,1,4,4,4,3,2,2,2,5,4,2,3,176,0
1,0,1,1,1,5,5,4,5,3,1,1,2,1,5,2,3,38,0
3,0,3,0,1,1,3,2,1,5,4,3,3,1,1,4,3,0,0
2,0,2,0,1,5,5,3,5,4,2,2,3,5,5,4,5,0,0
4,1,4,0,0,3,4,4,5,2,4,2,1,3,5,3,2,0,0
1,0,0,1,1,5,5,2,5,2,0,1,1,4,5,1,4,0,1
4,0,2,0,0,2,4,1,4,2,4,4,4,2,5,2,2,0,0
5,0,5,0,0,5,4,5,3,5,5,5,5,5,2,5,5,0,1
5,0,1,0,0,5,5,4,4,5,1,1,1,5,4,5,5,19,1
3,0,3,0,0,3,5,3,5,3,3,3,3,3,5,3,3,46,1
3,1,1,1,0,4,3,1,4,1,2,1,4,4,3,4,4,0,0
3,0,2,0,0,5,5,3,3,4,2,2,2,5,3,5,5,13,1
1,0,1,2,1,4,2,2,4,1,1,1,4,4,4,3,4,39,0
5,0,4,0,0,5,4,3,4,5,4,4,4,5,4,5,5,0,1
4,0,2,0,0,2,5,5,4,2,2,2,2,2,4,2,2,0,1
5,0,5,1,0,5,5,5,5,2,3,3,3,3,5,2,4,20,1
2,0,2,0,0,2,2,2,2,2,1,1,1,2,2,4,3,0,0
3,1,2,1,0,1,4,2,1,2,3,2,3,1,4,1,1,0,0
4,1,5,1,0,4,4,5,4,4,5,4,2,5,4,5,5,22,1
0,0,1,1,0,5,5,2,5,2,1,0,3,2,5,2,2,0,0
3,1,3,1,0,3,3,1,3,4,1,3,4,1,3,3,4,0,0
