,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
21364,21364,42459,Female,Loyal Customer,7,Personal Travel,Eco,866,2,4,2,3,4,2,4,4,5,4,4,4,4,4,0,0.0,neutral or dissatisfied
73825,73825,53808,Male,Loyal Customer,30,Business travel,Business,3377,4,4,4,4,5,5,5,5,3,3,5,2,2,5,5,0.0,satisfied
37331,37331,126227,Male,Loyal Customer,38,Business travel,Business,3668,0,0,0,3,4,5,2,4,4,4,4,4,4,1,0,0.0,satisfied
58181,58181,120700,Male,Loyal Customer,61,Personal Travel,Eco,280,1,4,1,2,4,1,4,4,4,2,5,5,4,4,0,0.0,neutral or dissatisfied
28557,28557,15359,Female,Loyal Customer,35,Business travel,Business,2449,5,5,5,5,3,3,3,5,1,2,5,3,2,3,139,113.0,satisfied
52102,52102,61471,Male,disloyal Customer,11,Business travel,Eco,2419,3,3,3,4,4,3,4,4,2,2,4,2,4,4,8,0.0,neutral or dissatisfied
84853,84853,43229,Female,Loyal Customer,54,Personal Travel,Eco Plus,423,3,3,3,3,1,1,2,2,2,3,2,2,2,1,9,33.0,neutral or dissatisfied
97931,97931,108018,Female,disloyal Customer,25,Business travel,Business,589,0,0,0,4,1,0,1,1,3,4,4,5,5,1,2,0.0,satisfied
47056,47056,6359,Male,Loyal Customer,23,Business travel,Business,3257,3,1,4,1,3,3,3,3,2,5,3,3,3,3,37,73.0,neutral or dissatisfied
2991,2991,78711,Male,Loyal Customer,43,Business travel,Business,528,3,3,3,3,5,4,5,3,3,3,3,4,3,3,11,0.0,satisfied
40526,40526,65193,Male,Loyal Customer,40,Personal Travel,Eco,190,4,4,4,3,2,4,2,2,5,4,5,5,5,2,1,9.0,neutral or dissatisfied
29678,29678,18719,Male,Loyal Customer,58,Personal Travel,Eco Plus,305,1,5,1,3,1,1,1,1,3,2,2,3,4,1,0,0.0,neutral or dissatisfied
47832,47832,27285,Male,disloyal Customer,22,Business travel,Eco,937,4,4,4,1,3,4,3,3,4,4,4,4,2,3,0,0.0,satisfied
100982,100982,127335,Female,Loyal Customer,52,Business travel,Business,1616,4,4,4,4,4,5,4,4,4,4,4,5,4,4,7,0.0,satisfied
51481,51481,6581,Female,Loyal Customer,49,Business travel,Business,207,3,4,4,4,1,3,4,3,3,3,3,4,3,2,50,42.0,neutral or dissatisfied
40094,40094,85436,Female,Loyal Customer,60,Business travel,Eco,332,3,1,1,1,5,3,2,2,2,3,2,2,2,1,0,1.0,neutral or dissatisfied
8305,8305,81420,Male,Loyal Customer,26,Business travel,Business,393,1,1,1,1,5,5,5,5,5,4,5,4,5,5,0,0.0,satisfied
35635,35635,20171,Male,Loyal Customer,62,Personal Travel,Eco,438,2,4,2,1,5,2,5,5,5,2,4,5,5,5,0,14.0,neutral or dissatisfied
8592,8592,15318,Male,Loyal Customer,57,Business travel,Business,589,2,1,1,1,1,3,4,2,2,2,2,3,2,3,0,3.0,neutral or dissatisfied
69180,69180,38891,Female,Loyal Customer,17,Personal Travel,Business,410,3,3,3,5,4,3,4,4,5,5,1,5,5,4,0,4.0,neutral or dissatisfied
62808,62808,16639,Male,Loyal Customer,23,Business travel,Business,3905,4,4,4,4,5,5,5,5,1,4,3,4,5,5,7,0.0,satisfied
17252,17252,113619,Female,Loyal Customer,44,Personal Travel,Eco,414,3,2,3,4,2,3,4,3,3,3,5,4,3,4,7,5.0,neutral or dissatisfied
101521,101521,91394,Female,disloyal Customer,44,Business travel,Eco,1304,3,3,3,3,4,3,4,4,4,3,3,4,3,4,12,11.0,neutral or dissatisfied
94503,94503,82815,Male,Loyal Customer,33,Business travel,Business,235,5,5,5,5,5,5,5,5,3,2,5,3,4,5,0,0.0,satisfied
48200,48200,71419,Male,disloyal Customer,11,Business travel,Eco,867,2,2,2,1,4,2,4,4,5,5,5,4,4,4,0,0.0,neutral or dissatisfied
46439,46439,20245,Female,Loyal Customer,47,Business travel,Eco,179,4,1,1,1,2,3,3,4,4,4,4,1,4,4,43,29.0,neutral or dissatisfied
79857,79857,54196,Male,Loyal Customer,33,Personal Travel,Eco,1372,2,4,2,3,5,2,5,5,2,2,2,2,4,5,0,0.0,neutral or dissatisfied
93769,93769,64565,Female,Loyal Customer,27,Business travel,Business,1763,1,1,3,1,3,3,3,3,3,3,4,5,4,3,0,0.0,satisfied
92089,92089,112724,Male,Loyal Customer,42,Personal Travel,Eco,605,3,2,3,3,2,3,2,2,1,1,3,2,4,2,10,7.0,neutral or dissatisfied
25990,25990,104130,Male,Loyal Customer,72,Business travel,Eco,393,3,4,4,4,3,3,3,3,2,3,2,3,2,3,0,0.0,neutral or dissatisfied
80673,80673,60646,Female,Loyal Customer,32,Business travel,Eco,1620,3,5,5,5,3,3,3,3,4,1,3,2,4,3,0,0.0,neutral or dissatisfied
15608,15608,21773,Male,Loyal Customer,47,Business travel,Eco,352,4,2,2,2,4,4,4,4,1,4,3,3,1,4,39,30.0,satisfied
24915,24915,76847,Female,Loyal Customer,40,Business travel,Business,3393,1,1,1,1,5,5,4,2,2,2,2,5,2,4,15,5.0,satisfied
26426,26426,115431,Male,disloyal Customer,30,Business travel,Eco,373,1,2,1,3,1,1,1,1,1,3,4,4,3,1,0,0.0,neutral or dissatisfied
38020,38020,107050,Male,Loyal Customer,37,Business travel,Business,2273,4,4,4,4,3,3,4,4,4,4,4,3,4,4,7,8.0,neutral or dissatisfied
38981,38981,70808,Male,Loyal Customer,52,Business travel,Business,1542,1,5,5,5,3,3,3,1,1,1,1,3,1,2,2,0.0,neutral or dissatisfied
28331,28331,52437,Male,Loyal Customer,22,Personal Travel,Eco,451,1,4,1,1,1,1,1,1,5,4,4,3,5,1,0,1.0,neutral or dissatisfied
25007,25007,122455,Male,Loyal Customer,42,Business travel,Business,575,2,2,2,2,5,5,5,3,3,4,3,5,3,5,0,0.0,satisfied
66030,66030,76615,Male,Loyal Customer,50,Business travel,Eco,534,4,3,3,3,4,4,4,4,3,1,1,1,1,4,5,7.0,neutral or dissatisfied
69693,69693,125234,Female,Loyal Customer,55,Business travel,Eco,1149,1,4,4,4,3,3,3,1,1,1,1,4,1,4,0,0.0,neutral or dissatisfied
27241,27241,7067,Male,Loyal Customer,34,Business travel,Business,273,4,4,3,4,4,4,4,4,4,4,4,5,4,3,36,58.0,satisfied
93642,93642,39379,Male,Loyal Customer,45,Business travel,Business,3960,3,3,3,3,5,3,2,5,5,5,5,1,5,5,0,1.0,satisfied
89674,89674,20651,Female,Loyal Customer,28,Business travel,Business,3437,4,4,4,4,4,4,4,4,3,5,3,2,5,4,0,0.0,satisfied
15710,15710,53008,Male,Loyal Customer,26,Business travel,Business,1702,4,4,4,4,4,4,4,4,4,1,5,5,3,4,0,0.0,satisfied
89562,89562,20319,Female,Loyal Customer,57,Business travel,Business,287,0,0,0,4,4,4,5,5,5,5,5,5,5,5,0,1.0,satisfied
79434,79434,68878,Male,Loyal Customer,30,Business travel,Eco,936,3,5,5,5,3,2,3,3,2,4,3,4,2,3,9,19.0,neutral or dissatisfied
86751,86751,106557,Male,Loyal Customer,14,Personal Travel,Business,1024,3,4,3,1,3,2,2,2,5,1,1,2,2,2,142,141.0,neutral or dissatisfied
54972,54972,107702,Male,Loyal Customer,24,Business travel,Business,251,5,5,5,5,4,4,4,4,4,2,5,4,4,4,4,23.0,satisfied
32091,32091,36453,Female,disloyal Customer,35,Business travel,Business,867,2,1,1,1,3,1,3,3,3,2,1,3,2,3,6,17.0,neutral or dissatisfied
94627,94627,337,Male,Loyal Customer,37,Personal Travel,Eco,821,2,5,2,1,5,2,5,5,4,2,4,3,4,5,0,0.0,neutral or dissatisfied
89643,89643,19504,Female,Loyal Customer,33,Business travel,Business,508,2,2,2,2,2,2,2,1,3,3,4,2,3,2,142,138.0,neutral or dissatisfied
48173,48173,119000,Male,Loyal Customer,43,Business travel,Business,479,4,3,4,4,5,5,5,5,3,4,5,5,5,5,272,267.0,satisfied
92771,92771,10641,Female,disloyal Customer,27,Business travel,Eco,517,2,2,2,3,2,2,1,2,1,4,3,2,4,2,0,0.0,neutral or dissatisfied
4897,4897,2408,Female,Loyal Customer,55,Business travel,Business,2904,4,5,5,5,5,3,3,4,4,4,4,3,4,4,58,,neutral or dissatisfied
14705,14705,116346,Female,Loyal Customer,13,Personal Travel,Eco,371,3,3,5,2,2,5,3,2,3,4,4,1,1,2,2,15.0,neutral or dissatisfied
65144,65144,1734,Male,Loyal Customer,38,Personal Travel,Eco,489,5,2,2,4,4,2,4,4,2,4,3,3,3,4,0,0.0,satisfied
63125,63125,71836,Male,Loyal Customer,34,Business travel,Business,1846,2,2,2,2,2,4,3,2,2,2,2,1,2,1,34,36.0,neutral or dissatisfied
20742,20742,91595,Male,Loyal Customer,11,Personal Travel,Business,1184,3,5,3,3,4,3,4,4,3,4,5,5,4,4,0,0.0,neutral or dissatisfied
15775,15775,113185,Male,Loyal Customer,45,Business travel,Business,1924,1,1,1,1,2,4,5,4,4,3,4,5,4,4,0,0.0,satisfied
32019,32019,4867,Male,Loyal Customer,54,Personal Travel,Eco,408,2,1,2,3,4,2,4,4,4,4,4,4,4,4,6,11.0,neutral or dissatisfied
64979,64979,30129,Male,Loyal Customer,10,Personal Travel,Eco,539,3,5,3,1,4,3,5,4,4,2,5,5,4,4,0,0.0,neutral or dissatisfied
36831,36831,76763,Female,Loyal Customer,48,Business travel,Business,3198,2,5,2,2,5,5,4,4,4,4,4,5,4,4,0,0.0,satisfied
67906,67906,82359,Male,Loyal Customer,69,Personal Travel,Eco,453,2,5,3,3,4,3,4,4,2,5,5,4,3,4,0,0.0,neutral or dissatisfied
54491,54491,69922,Male,Loyal Customer,17,Personal Travel,Eco,1514,1,2,1,4,4,1,4,4,4,2,3,3,4,4,39,18.0,neutral or dissatisfied
57667,57667,88031,Female,Loyal Customer,49,Business travel,Business,3292,2,2,2,2,2,4,5,5,5,5,5,5,5,3,0,0.0,satisfied
23527,23527,88395,Female,disloyal Customer,22,Business travel,Business,581,4,0,4,1,1,4,1,1,4,2,4,3,5,1,4,0.0,satisfied
25446,25446,40975,Male,Loyal Customer,50,Personal Travel,Eco,601,4,5,4,4,1,4,1,1,4,5,1,3,2,1,0,0.0,neutral or dissatisfied
84489,84489,90551,Male,Loyal Customer,41,Business travel,Business,3199,1,1,1,1,4,5,4,5,5,5,5,5,5,5,8,6.0,satisfied
91219,91219,55738,Male,Loyal Customer,39,Personal Travel,Eco,2052,3,4,4,3,4,4,4,4,3,3,4,3,5,4,0,0.0,neutral or dissatisfied
49031,49031,115155,Male,disloyal Customer,38,Business travel,Eco,296,3,3,3,3,1,3,1,1,4,3,3,4,3,1,0,0.0,neutral or dissatisfied
30883,30883,45506,Male,disloyal Customer,43,Business travel,Eco Plus,122,4,3,3,4,3,4,3,3,2,2,3,2,3,3,0,0.0,neutral or dissatisfied
72569,72569,28998,Male,Loyal Customer,40,Business travel,Business,1050,4,4,1,4,5,1,5,5,5,5,5,2,5,3,0,0.0,satisfied
100251,100251,97036,Male,disloyal Customer,36,Business travel,Business,1642,4,4,4,5,1,4,1,1,3,5,4,5,5,1,0,0.0,neutral or dissatisfied
19452,19452,98570,Male,Loyal Customer,54,Business travel,Business,834,1,1,5,1,3,4,5,5,5,5,5,4,5,4,0,0.0,satisfied
57179,57179,122435,Male,Loyal Customer,7,Personal Travel,Eco,1916,4,5,4,3,3,4,3,3,3,2,4,4,4,3,0,2.0,neutral or dissatisfied
12051,12051,128518,Female,Loyal Customer,58,Personal Travel,Eco,338,3,3,3,2,1,4,5,2,2,3,2,2,2,1,28,28.0,neutral or dissatisfied
16408,16408,76002,Male,Loyal Customer,44,Business travel,Business,2889,3,3,3,3,5,5,4,5,5,5,5,3,5,4,28,51.0,satisfied
12276,12276,37351,Female,Loyal Customer,22,Business travel,Business,3611,5,5,3,5,4,4,4,4,2,3,5,3,3,4,21,11.0,satisfied
7144,7144,60294,Female,Loyal Customer,21,Personal Travel,Eco,783,1,4,2,4,5,2,5,5,3,3,4,5,4,5,0,14.0,neutral or dissatisfied
42087,42087,90103,Female,disloyal Customer,27,Business travel,Eco,957,1,1,1,3,2,1,2,2,4,4,3,1,4,2,1,0.0,neutral or dissatisfied
39449,39449,59183,Male,disloyal Customer,27,Business travel,Business,1440,4,4,4,4,3,4,2,3,5,5,5,3,5,3,103,87.0,satisfied
82585,82585,103566,Female,Loyal Customer,39,Business travel,Business,3889,3,3,2,3,3,5,4,3,3,3,3,4,3,5,9,0.0,satisfied
71225,71225,5303,Female,Loyal Customer,53,Personal Travel,Eco,383,4,5,4,4,4,4,5,3,3,4,3,5,3,3,0,0.0,neutral or dissatisfied
38872,38872,86142,Male,Loyal Customer,54,Business travel,Business,3667,4,1,1,1,5,3,4,4,4,4,4,3,4,2,0,9.0,neutral or dissatisfied
85199,85199,103802,Female,Loyal Customer,57,Business travel,Business,882,1,1,1,1,4,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
78400,78400,46189,Male,disloyal Customer,25,Business travel,Business,472,2,0,2,4,4,2,4,4,5,1,3,2,1,4,50,62.0,neutral or dissatisfied
63279,63279,119337,Female,Loyal Customer,60,Personal Travel,Eco,214,1,3,1,3,2,4,4,1,1,1,1,3,1,1,0,0.0,neutral or dissatisfied
97685,97685,116306,Male,Loyal Customer,27,Personal Travel,Eco,404,3,5,3,1,1,3,1,1,4,3,5,3,5,1,0,0.0,neutral or dissatisfied
96108,96108,115297,Male,Loyal Customer,46,Business travel,Business,342,5,5,5,5,4,4,5,4,4,4,4,5,4,4,46,37.0,satisfied
26987,26987,99495,Female,Loyal Customer,69,Personal Travel,Eco,307,5,5,5,2,5,4,5,4,4,5,4,5,4,3,13,16.0,satisfied
47410,47410,38351,Male,Loyal Customer,45,Business travel,Business,3038,2,2,2,2,5,3,2,4,4,4,4,5,4,2,0,0.0,satisfied
82557,82557,116775,Female,Loyal Customer,28,Personal Travel,Eco Plus,372,4,3,2,4,3,2,3,3,2,1,2,3,4,3,66,49.0,neutral or dissatisfied
75286,75286,17650,Male,disloyal Customer,27,Business travel,Eco,1008,4,4,4,3,2,4,5,2,3,3,4,3,4,2,0,0.0,neutral or dissatisfied
69138,69138,71732,Male,Loyal Customer,56,Business travel,Business,1723,4,4,4,4,5,4,5,4,4,4,4,3,4,3,0,0.0,satisfied
8845,8845,116072,Female,Loyal Customer,61,Personal Travel,Eco,342,2,1,2,4,4,3,3,4,4,2,4,2,4,1,15,8.0,neutral or dissatisfied
90696,90696,11510,Female,Loyal Customer,56,Personal Travel,Eco Plus,201,2,5,2,4,4,5,4,3,3,2,2,1,3,5,0,0.0,neutral or dissatisfied
82075,82075,48529,Female,Loyal Customer,47,Business travel,Business,3318,3,3,3,3,5,5,1,4,4,4,4,2,4,5,0,7.0,satisfied
88494,88494,95996,Male,disloyal Customer,25,Business travel,Business,583,1,0,1,3,5,1,5,5,4,5,5,4,5,5,15,14.0,neutral or dissatisfied
94244,94244,120690,Male,Loyal Customer,30,Personal Travel,Eco,280,1,5,4,2,2,4,2,2,3,2,5,4,5,2,0,11.0,neutral or dissatisfied
60292,60292,21519,Male,Loyal Customer,34,Personal Travel,Eco,433,2,5,2,3,3,2,3,3,3,4,4,3,5,3,62,51.0,neutral or dissatisfied
101484,101484,97536,Female,disloyal Customer,34,Business travel,Eco,462,3,1,3,2,1,3,1,1,4,2,2,2,2,1,0,0.0,neutral or dissatisfied
10415,10415,12057,Male,Loyal Customer,15,Personal Travel,Eco,351,2,1,2,3,2,2,2,2,1,5,2,4,2,2,0,0.0,neutral or dissatisfied
2630,2630,3638,Male,Loyal Customer,35,Business travel,Business,1534,1,1,1,1,3,5,4,5,5,5,5,5,5,5,0,,satisfied
86759,86759,46963,Male,Loyal Customer,56,Personal Travel,Eco,845,3,2,3,3,4,3,4,4,2,3,2,2,3,4,0,0.0,neutral or dissatisfied
33090,33090,78018,Female,Loyal Customer,18,Business travel,Eco,214,2,1,4,1,2,2,4,2,2,4,4,1,3,2,0,0.0,neutral or dissatisfied
78225,78225,41308,Male,disloyal Customer,21,Business travel,Eco,802,3,2,2,2,3,2,3,3,2,1,1,2,1,3,33,32.0,neutral or dissatisfied
99885,99885,48527,Female,disloyal Customer,25,Business travel,Eco,850,1,1,1,3,2,1,2,2,2,5,3,4,3,2,0,0.0,neutral or dissatisfied
92460,92460,121341,Male,Loyal Customer,80,Business travel,Business,3613,4,4,4,4,4,4,5,4,4,4,4,4,4,5,0,0.0,satisfied
62582,62582,53170,Male,Loyal Customer,28,Business travel,Eco,589,0,0,0,3,5,0,5,5,5,3,4,1,2,5,2,0.0,satisfied
22719,22719,111992,Male,Loyal Customer,46,Personal Travel,Eco,770,4,4,4,1,5,4,1,5,5,5,4,3,4,5,0,0.0,satisfied
7759,7759,17594,Male,disloyal Customer,36,Business travel,Business,700,3,4,4,4,2,4,2,2,1,3,3,2,4,2,1,23.0,neutral or dissatisfied
35333,35333,97406,Female,Loyal Customer,58,Business travel,Business,1987,1,1,1,1,4,4,5,5,5,4,5,4,5,3,1,0.0,satisfied
86613,86613,20478,Male,Loyal Customer,56,Personal Travel,Business,139,1,0,1,3,4,4,5,3,3,1,3,3,3,4,5,2.0,neutral or dissatisfied
72090,72090,20736,Female,Loyal Customer,24,Business travel,Eco,363,4,4,4,4,4,4,5,4,2,3,2,4,4,4,0,0.0,satisfied
41277,41277,73501,Female,Loyal Customer,40,Business travel,Business,1005,3,3,3,3,3,5,4,4,4,5,4,4,4,4,0,0.0,satisfied
29937,29937,105989,Male,disloyal Customer,27,Business travel,Business,912,2,2,2,1,1,2,1,1,4,4,4,4,4,1,0,4.0,neutral or dissatisfied
20034,20034,109645,Male,Loyal Customer,45,Business travel,Business,3831,4,1,4,4,5,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
64546,64546,107434,Male,Loyal Customer,30,Personal Travel,Eco,725,1,4,1,4,3,1,3,3,3,5,2,2,2,3,25,0.0,neutral or dissatisfied
52073,52073,62863,Female,disloyal Customer,25,Business travel,Eco,1271,1,1,1,3,4,1,4,4,3,2,5,5,4,4,32,3.0,neutral or dissatisfied
10590,10590,12205,Female,disloyal Customer,24,Business travel,Business,201,2,4,3,3,4,3,4,4,4,2,4,4,3,4,0,0.0,neutral or dissatisfied
31902,31902,6974,Male,disloyal Customer,27,Business travel,Business,436,1,1,1,4,4,1,5,4,4,4,5,5,4,4,6,79.0,neutral or dissatisfied
6627,6627,47427,Female,disloyal Customer,34,Business travel,Eco,590,1,4,1,2,3,1,3,3,3,3,2,3,1,3,0,6.0,neutral or dissatisfied
40753,40753,107909,Female,disloyal Customer,26,Business travel,Eco,861,2,2,2,4,4,2,3,4,2,4,4,3,3,4,96,103.0,neutral or dissatisfied
57176,57176,91668,Male,Loyal Customer,11,Personal Travel,Eco Plus,1352,3,5,3,3,4,3,4,4,4,3,3,4,5,4,0,0.0,neutral or dissatisfied
45981,45981,4304,Male,Loyal Customer,34,Business travel,Eco Plus,502,2,1,1,1,2,2,2,2,1,2,3,1,4,2,0,0.0,neutral or dissatisfied
21212,21212,37583,Male,Loyal Customer,37,Business travel,Eco,428,3,4,4,4,3,3,3,3,4,3,3,2,4,3,36,23.0,neutral or dissatisfied
49326,49326,43449,Male,Loyal Customer,47,Business travel,Business,3729,3,1,1,1,2,3,3,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
93321,93321,74414,Female,disloyal Customer,60,Business travel,Business,1235,4,4,4,2,1,4,1,1,5,5,5,5,4,1,0,0.0,neutral or dissatisfied
5460,5460,88463,Female,disloyal Customer,25,Business travel,Eco,594,4,3,4,2,2,4,2,2,4,4,4,2,2,2,0,0.0,neutral or dissatisfied
66172,66172,17545,Male,Loyal Customer,24,Business travel,Business,970,2,2,2,2,4,4,4,5,2,5,1,4,5,4,173,184.0,satisfied
39783,39783,106554,Female,Loyal Customer,47,Business travel,Business,719,5,5,5,5,3,4,5,4,4,4,4,4,4,5,0,3.0,satisfied
9541,9541,23262,Male,Loyal Customer,48,Business travel,Business,826,3,3,1,3,5,4,4,3,3,3,3,3,3,3,0,41.0,neutral or dissatisfied
3913,3913,76587,Male,disloyal Customer,25,Business travel,Business,516,3,4,3,1,4,3,4,4,3,5,4,3,4,4,0,0.0,neutral or dissatisfied
68504,68504,88526,Female,Loyal Customer,44,Personal Travel,Eco,581,3,5,3,3,5,4,5,5,5,3,5,4,5,5,1,0.0,neutral or dissatisfied
39756,39756,99945,Female,Loyal Customer,54,Business travel,Business,1986,4,4,4,4,4,5,5,5,5,5,5,3,5,3,8,0.0,satisfied
100440,100440,49929,Male,Loyal Customer,40,Business travel,Eco,209,5,1,5,1,5,5,5,5,3,1,4,4,2,5,76,61.0,satisfied
34011,34011,50118,Female,Loyal Customer,51,Business travel,Business,2591,1,1,1,1,1,1,2,2,2,2,1,1,2,2,103,101.0,neutral or dissatisfied
36369,36369,19527,Male,Loyal Customer,39,Business travel,Business,173,3,2,2,2,2,3,3,3,3,2,3,3,3,2,5,4.0,neutral or dissatisfied
53195,53195,92441,Male,Loyal Customer,29,Business travel,Business,1947,3,3,3,3,4,4,4,4,4,5,3,3,5,4,1,0.0,satisfied
18080,18080,57540,Male,Loyal Customer,30,Personal Travel,Eco,413,2,4,2,2,3,2,3,3,5,4,4,3,5,3,3,0.0,neutral or dissatisfied
26986,26986,89226,Male,Loyal Customer,49,Personal Travel,Eco,2116,2,4,2,3,5,2,5,5,4,5,4,5,1,5,0,0.0,neutral or dissatisfied
72006,72006,5597,Female,Loyal Customer,28,Business travel,Business,2499,5,5,5,5,4,4,4,4,5,4,5,3,5,4,87,89.0,satisfied
100297,100297,50580,Female,Loyal Customer,13,Personal Travel,Eco,109,3,4,3,3,2,3,2,2,3,1,2,2,3,2,0,0.0,neutral or dissatisfied
56995,56995,46158,Male,Loyal Customer,66,Personal Travel,Eco,516,5,1,5,2,2,5,5,2,1,5,3,3,2,2,0,20.0,satisfied
22596,22596,126109,Male,Loyal Customer,60,Business travel,Business,3374,3,5,2,2,2,4,4,3,3,3,3,3,3,1,0,0.0,neutral or dissatisfied
79395,79395,89750,Female,Loyal Customer,29,Personal Travel,Eco,1035,3,3,3,4,3,5,5,1,5,4,4,5,3,5,179,158.0,neutral or dissatisfied
61076,61076,73474,Female,Loyal Customer,13,Personal Travel,Eco,1144,2,4,2,1,2,2,2,2,5,3,4,5,5,2,13,6.0,neutral or dissatisfied
98291,98291,80633,Male,Loyal Customer,44,Business travel,Business,282,2,4,4,4,5,3,3,2,2,2,2,3,2,3,4,7.0,neutral or dissatisfied
27264,27264,106743,Female,Loyal Customer,55,Business travel,Business,1694,3,3,3,3,2,5,4,4,4,4,4,3,4,5,9,15.0,satisfied
27543,27543,114818,Female,Loyal Customer,42,Business travel,Business,2986,2,2,2,2,3,4,5,3,3,4,3,4,3,4,13,0.0,satisfied
8699,8699,8694,Male,Loyal Customer,46,Business travel,Business,2771,0,0,0,2,1,3,4,3,3,3,3,3,3,1,0,0.0,satisfied
79209,79209,123897,Female,Loyal Customer,31,Personal Travel,Eco,544,5,4,5,3,5,5,5,5,1,3,5,3,4,5,0,0.0,satisfied
80241,80241,105492,Female,Loyal Customer,45,Business travel,Eco,516,2,3,3,3,1,4,4,2,2,2,2,1,2,4,21,15.0,neutral or dissatisfied
75438,75438,68429,Male,Loyal Customer,10,Personal Travel,Eco,1045,1,4,1,3,4,1,4,4,3,2,5,4,5,4,0,0.0,neutral or dissatisfied
