Teenhome,Kidhome,Complain,NumCatalogPurchases,AcceptedCmp2,Marital_Status,Income,NumStorePurchases,MntWines,MntMeatProducts,MntGoldProds,MntFishProducts,MntFruits,NumDealsPurchases,AcceptedCmp5,MntSweetProducts,NumWebVisitsMonth,NumWebPurchases,Year_Birth,Year_Birth_KMeans_Clusters
1,0,0,2,0,3,55954.0,6,447,28,43,0,0,3,0,0,7,8,1968,0
0,0,0,6,0,4,75777.0,11,712,538,80,69,26,1,1,13,1,3,1982,0
1,1,0,2,0,5,66653.0,12,452,102,6,16,18,4,0,18,3,4,1975,0
1,0,0,2,0,4,61823.0,10,523,134,169,37,7,4,0,14,7,8,1952,0
1,0,0,3,0,6,67680.0,8,546,48,6,0,0,1,0,6,5,7,1951,0
0,0,0,4,0,5,70666.0,4,398,367,30,119,40,1,0,122,4,7,1948,0
0,1,0,1,0,3,25721.0,2,1,6,15,3,3,1,0,6,7,1,1971,1
1,1,0,0,0,5,32474.0,2,10,1,0,0,0,1,0,0,7,1,1967,1
1,0,0,10,0,4,88194.0,10,688,309,38,201,14,1,0,24,5,11,1979,0
1,0,0,2,0,5,69096.0,10,247,159,109,7,49,1,0,82,4,5,1958,0
2,1,0,5,0,5,74854.0,5,856,487,73,58,59,7,0,29,5,2,1970,0
0,0,0,8,0,3,66991.0,6,496,460,12,189,36,3,0,60,3,4,1954,0
0,1,0,0,0,3,1729.0,3,25,43,17,17,3,3,0,4,8,3,1973,1
1,0,0,3,0,3,65031.0,13,258,291,86,84,107,4,0,37,7,10,1959,0
1,1,0,2,0,3,60631.0,8,565,65,19,0,6,5,0,6,7,9,1975,0
0,0,0,1,0,3,28332.0,4,14,13,9,4,10,1,0,15,2,2,1952,1
0,1,0,0,0,2,40246.0,2,2,6,1,2,1,1,0,1,6,1,1977,1
0,0,0,6,0,3,75251.0,5,721,925,18,97,111,1,0,18,5,7,1972,0
0,0,0,8,0,4,75825.0,9,1032,779,51,137,105,0,0,105,4,5,1976,0
0,0,1,0,0,5,26326.0,3,1,5,9,0,0,1,0,3,3,0,1976,1
0,0,0,1,0,5,56046.0,8,577,64,51,0,0,2,0,0,8,10,1965,0
0,1,0,1,0,4,29760.0,4,64,68,17,7,4,4,0,5,8,3,1985,1
0,1,0,0,0,3,26304.0,2,4,5,4,2,1,1,0,0,7,1,1969,1
0,1,0,0,0,3,23559.0,3,25,19,23,7,5,3,0,0,7,3,1973,1
0,0,0,5,0,5,38620.0,3,112,44,89,34,17,1,0,22,3,2,1963,1
0,0,0,10,0,2,81361.0,13,163,424,76,27,23,1,0,65,1,3,1987,0
1,1,0,0,0,3,29440.0,4,17,14,3,10,8,2,0,4,7,1,1960,1
1,1,0,1,0,3,36138.0,4,130,16,5,0,0,5,0,0,7,3,1970,1
1,0,0,1,0,4,50388.0,6,292,37,34,0,6,4,0,3,7,6,1957,1
0,0,0,6,0,3,79593.0,7,350,568,145,110,60,1,1,133,2,5,1973,0
1,0,0,2,0,5,54178.0,5,135,39,7,4,9,1,0,0,2,2,1967,0
1,2,0,2,0,3,1729.0,8,230,192,53,49,42,12,0,37,9,7,1957,1
1,1,0,0,0,4,1729.0,2,7,8,1,2,0,1,0,0,7,1,1957,1
0,0,0,4,0,5,1729.0,8,445,359,18,98,37,1,0,28,1,2,1973,1
0,1,0,0,0,4,42394.0,3,15,10,4,0,2,1,0,1,7,1,1972,1
0,1,0,1,0,3,23626.0,3,27,14,0,0,2,3,0,0,5,3,1970,1
0,1,0,0,0,3,30096.0,3,5,11,9,12,3,1,0,5,6,2,1983,1
1,0,0,4,0,6,47916.0,6,505,26,75,0,0,5,0,0,6,7,1960,1
1,1,0,0,0,2,51813.0,3,51,7,2,0,2,2,0,1,7,2,1972,1
0,0,0,7,0,3,78497.0,12,207,447,223,75,26,1,0,0,2,5,1951,0
0,0,0,2,0,3,50150.0,7,135,92,11,65,46,2,0,61,5,5,1983,1
1,0,0,0,0,4,47823.0,3,53,5,10,2,1,2,0,1,8,2,1960,1
1,0,0,0,0,4,34554.0,3,41,6,5,2,1,2,0,0,6,2,1959,1
1,0,0,5,0,5,85693.0,11,386,183,111,185,172,2,0,132,5,9,1979,0
0,0,0,3,0,3,65846.0,6,562,276,81,80,81,1,0,40,4,6,1945,0
0,0,0,11,0,3,87195.0,5,217,690,38,50,76,1,0,26,1,3,1959,0
0,1,0,0,0,5,24594.0,3,1,6,9,10,3,1,0,0,5,1,1979,1
1,1,0,1,0,3,49096.0,4,144,32,7,2,1,4,0,1,7,4,1964,1
2,0,0,4,0,3,52413.0,12,295,271,65,75,106,4,0,98,6,6,1969,0
0,1,0,1,0,4,38557.0,3,76,31,27,4,3,2,0,4,7,3,1978,1
0,0,0,4,0,3,89058.0,4,454,106,43,31,194,1,0,22,2,5,1960,0
1,0,0,6,0,5,77298.0,11,425,292,79,23,115,1,0,35,3,6,1979,0
0,0,0,4,0,4,68126.0,5,1332,311,86,23,17,1,0,51,9,7,1991,0
1,0,0,1,0,5,57288.0,8,527,21,60,0,0,3,0,0,6,8,1963,0
0,0,0,7,0,4,86037.0,11,490,125,22,29,44,1,1,20,3,6,1991,0
0,1,0,4,0,3,43974.0,6,378,101,72,0,0,5,0,0,7,6,1980,1
1,1,0,1,0,4,50785.0,3,64,21,27,0,1,2,0,1,6,2,1962,1
0,0,0,6,0,3,90765.0,5,547,812,33,151,99,0,1,82,1,4,1970,0
0,1,0,1,0,3,36550.0,5,47,94,120,123,90,5,0,103,9,9,1978,1
1,1,0,1,0,5,30753.0,3,12,25,30,0,5,2,0,9,5,1,1967,1
0,1,0,0,0,5,21918.0,3,1,7,3,11,6,2,0,5,6,2,1969,1
1,0,0,2,0,5,56129.0,10,320,133,48,39,48,4,0,72,4,6,1953,0
0,1,0,1,0,4,32557.0,3,34,29,10,0,3,3,0,4,5,2,1967,1
0,2,0,0,0,3,19510.0,3,9,7,7,3,0,2,0,4,7,1,1985,1
0,1,0,0,0,2,30992.0,3,17,14,2,7,0,1,0,3,7,1,1976,1
0,0,0,8,0,4,101970.0,13,722,102,168,44,27,0,1,72,2,6,1983,0
0,0,0,4,0,5,71488.0,7,162,124,172,40,33,2,0,28,1,3,1965,0
0,0,0,6,0,4,79607.0,6,450,951,216,173,133,1,0,0,1,3,1984,0
1,1,0,0,0,3,54348.0,4,70,16,4,0,0,2,0,0,6,2,1953,0
1,0,0,1,0,3,1729.0,7,352,27,15,10,0,3,0,0,6,6,1961,1
1,1,0,3,0,5,77376.0,10,492,110,12,16,19,4,0,12,4,6,1956,0
1,0,0,4,0,3,62998.0,5,120,73,58,65,58,5,0,89,5,5,1952,0
1,1,0,1,0,1,61331.0,6,534,47,41,0,5,5,0,5,8,11,1958,0
0,0,0,2,0,3,73448.0,9,236,189,130,23,106,1,0,41,4,7,1969,0
1,0,0,5,0,3,1729.0,7,231,196,124,38,65,1,0,71,4,6,1963,1
1,1,0,1,0,3,41551.0,5,220,33,23,3,0,5,0,0,8,5,1964,1
0,0,0,5,0,5,62981.0,13,796,590,0,38,14,1,0,44,3,4,1967,0
0,1,0,0,0,2,9548.0,3,0,3,9,10,1,2,0,6,8,1,1976,1
1,2,0,2,0,3,33762.0,2,53,34,16,2,1,3,0,0,8,2,1959,1
1,1,0,1,0,1,35860.0,2,15,8,20,4,0,2,0,2,5,1,1973,1
1,1,0,0,0,2,36921.0,3,17,12,4,3,1,2,0,1,7,2,1965,1
0,0,0,4,0,4,92859.0,12,962,921,20,52,61,1,0,61,2,5,1992,0
1,0,0,5,0,5,65104.0,7,738,232,50,13,0,2,0,20,7,3,1976,0
0,0,0,7,0,3,86111.0,10,399,756,126,36,28,1,0,40,2,5,1962,0
1,0,0,5,0,4,68352.0,9,614,132,33,43,16,3,0,33,6,8,1974,0
0,1,0,2,0,5,41883.0,3,32,41,116,73,34,3,0,16,7,4,1988,1
2,0,0,3,0,3,59809.0,6,598,141,49,32,16,3,0,41,8,3,1976,0
0,1,0,0,0,3,23957.0,3,2,18,16,20,1,1,0,11,6,2,1975,1
0,1,1,0,0,5,38547.0,2,6,10,4,0,1,1,0,1,8,1,1981,1
1,2,0,1,0,3,35688.0,4,73,90,32,12,3,7,0,1,8,4,1973,1
0,0,0,1,0,3,49605.0,4,42,29,8,12,16,1,0,20,3,2,1966,1
2,0,0,4,0,3,59354.0,7,295,78,13,39,21,1,0,13,3,4,1953,0
1,0,0,1,0,3,65747.0,6,346,48,13,23,17,4,0,13,6,8,1969,0
1,0,0,1,0,5,46344.0,5,233,57,91,8,20,4,0,20,7,7,1972,1
0,1,0,0,0,1,34176.0,4,5,24,20,19,7,4,0,14,6,3,1988,1
1,0,0,5,0,5,61010.0,11,888,57,76,0,0,2,0,0,5,8,1952,0
0,0,0,4,0,5,69372.0,6,997,269,42,34,26,1,1,13,4,10,1949,0
1,0,0,1,0,4,49967.0,5,212,69,3,4,6,3,0,12,7,6,1958,1
2,1,0,0,0,4,60199.0,3,8,7,0,2,1,1,0,0,4,0,1978,0
1,0,0,1,0,5,55375.0,6,42,57,14,10,11,1,0,28,2,1,1977,0
0,0,0,4,0,4,80317.0,10,536,387,57,149,11,1,0,91,1,3,1955,0
1,2,0,0,0,4,30523.0,2,5,3,5,0,0,1,0,0,7,1,1958,1
0,0,0,6,0,3,70356.0,9,1349,249,33,43,16,2,0,16,6,10,1945,0
0,1,0,0,0,3,23228.0,4,53,49,5,7,3,4,0,4,8,3,1984,1
0,0,0,4,0,2,74165.0,10,1001,240,12,16,12,1,0,12,2,5,1975,0
1,0,0,22,0,3,157243.0,0,20,1582,1,1,2,15,0,2,0,0,1973,0
1,2,0,0,0,5,43482.0,4,18,32,28,6,1,3,0,3,6,2,1966,1
0,0,0,7,0,2,62551.0,4,125,98,27,134,16,1,0,21,3,6,1953,0
0,0,0,2,0,2,52332.0,6,212,33,2,7,5,1,0,0,4,3,1959,0
0,0,0,4,0,4,66951.0,7,277,305,124,173,162,1,0,76,1,3,1988,0
1,1,0,1,0,5,26091.0,3,15,19,20,8,10,3,0,17,5,2,1957,1
1,1,0,0,0,5,33456.0,3,7,10,7,8,3,2,0,1,7,1,1965,1
0,1,0,0,0,3,28718.0,3,12,6,16,11,4,2,0,8,8,2,1982,1
0,2,0,1,0,3,50447.0,3,85,24,27,2,7,1,0,3,6,3,1970,1
1,1,0,1,0,5,53537.0,3,81,6,6,0,0,2,0,0,5,2,1959,0
1,0,0,2,0,4,52074.0,2,59,12,48,0,0,1,0,0,4,2,1967,0
1,0,0,8,0,3,80427.0,8,1149,449,26,69,71,1,0,71,5,11,1975,0
0,0,0,10,0,3,83837.0,5,847,119,111,86,66,1,0,89,4,9,1948,0
1,1,0,0,0,3,38853.0,3,29,14,2,0,0,2,0,0,7,2,1970,1
1,2,0,0,0,5,38285.0,3,2,5,1,2,0,1,0,0,2,0,1959,1
0,0,0,7,0,3,78497.0,12,207,447,223,75,26,1,0,0,2,5,1951,0
1,0,0,1,0,3,51650.0,4,152,22,7,2,3,1,0,5,5,4,1976,1
0,1,0,1,0,3,16248.0,3,12,10,9,3,11,3,0,12,6,2,1988,1
0,0,0,4,0,3,66835.0,13,620,195,141,34,26,1,0,17,2,6,1946,0
0,1,0,1,0,3,30477.0,3,47,6,12,0,1,1,0,0,6,1,1984,1
0,0,0,0,0,3,28249.0,3,1,7,10,2,9,1,0,14,6,2,1961,1
0,1,0,1,0,3,25271.0,2,10,18,7,10,1,1,0,4,9,1,1983,1
1,0,0,0,0,4,32303.0,4,35,2,2,0,0,2,0,0,5,1,1970,1
1,0,0,1,0,3,61286.0,8,356,107,117,19,0,2,0,9,5,7,1966,0
0,0,0,10,0,3,74068.0,9,783,537,15,140,30,1,0,76,2,4,1976,0
1,1,0,0,0,3,45759.0,3,42,18,4,3,1,2,0,0,7,2,1964,1
0,1,0,1,0,5,24882.0,2,1,10,36,29,4,1,0,0,6,1,1978,1
0,0,0,7,0,5,66973.0,12,466,432,102,147,22,1,0,113,3,8,1989,0
0,1,1,1,0,2,36640.0,2,15,8,25,7,6,1,0,4,5,2,1900,1
0,1,0,0,0,3,38872.0,3,23,21,22,3,3,2,0,19,8,3,1988,1
1,1,0,1,0,3,51148.0,6,235,45,12,8,6,4,0,9,6,5,1973,1
1,1,0,1,0,3,31353.0,2,10,10,7,3,0,2,0,1,8,1,1977,1
0,0,0,3,0,3,69661.0,12,656,106,8,32,16,1,0,16,3,7,1980,0
0,0,0,6,0,3,80067.0,6,519,813,51,27,17,1,1,173,2,4,1954,0
0,0,0,6,0,3,86718.0,5,344,482,172,50,189,1,0,33,2,5,1954,0
1,1,0,1,0,4,46854.0,3,96,79,79,7,1,6,0,1,8,5,1973,1
1,0,0,1,0,2,69142.0,7,448,34,39,6,4,3,0,4,5,8,1952,0
0,0,0,4,0,4,75922.0,9,265,553,92,224,138,1,0,23,1,4,1968,0
1,0,0,6,0,2,63693.0,9,587,337,54,42,43,3,0,87,6,11,1978,0
0,0,0,9,0,5,102160.0,10,763,138,58,76,29,0,1,176,4,7,1977,0
1,1,0,0,0,4,40637.0,3,22,13,3,0,0,2,0,0,7,1,1965,1
0,0,0,1,0,4,18890.0,2,6,1,15,7,4,1,0,2,6,0,1984,1
0,1,0,0,0,5,29604.0,3,7,13,14,7,6,1,0,6,9,1,1988,1
1,1,0,2,0,2,48721.0,5,81,113,21,47,18,6,0,13,6,4,1963,1
1,0,0,0,0,3,44794.0,3,54,7,4,0,0,1,0,0,6,2,1966,1
1,0,0,4,0,2,64497.0,9,1170,320,192,42,48,5,0,32,8,11,1954,0
1,0,0,1,0,5,46097.0,6,72,68,8,65,24,5,0,4,4,3,1956,1
0,0,0,6,0,5,77972.0,9,613,319,12,33,22,1,0,102,1,4,1954,0
1,1,0,1,0,3,44377.0,5,224,30,10,0,0,8,0,0,8,5,1968,1
1,1,0,1,0,5,46014.0,8,410,59,44,19,0,10,0,9,7,7,1974,1
0,0,0,4,0,3,70951.0,9,239,554,54,254,10,1,0,87,1,3,1985,0
0,1,0,1,0,3,41443.0,5,171,171,89,25,7,6,0,19,8,8,1977,1
1,2,0,0,0,4,52195.0,2,12,4,1,0,0,1,0,0,8,1,1978,0
0,0,0,10,0,3,83790.0,6,1076,417,16,42,16,1,1,48,3,8,1948,0
1,0,0,1,0,6,44551.0,5,182,33,66,0,4,2,0,0,7,4,1954,1
0,1,0,4,0,5,69508.0,11,824,162,43,42,32,2,0,32,6,11,1980,0
0,1,0,1,0,5,45204.0,4,30,25,18,29,11,1,0,1,3,1,1988,1
0,0,0,5,0,3,72460.0,7,377,540,10,80,10,1,0,30,1,3,1969,0
2,0,0,3,0,5,77622.0,11,520,154,14,19,7,2,0,0,3,6,1970,0
0,1,0,1,0,3,30732.0,4,155,25,3,0,1,4,0,1,8,4,1980,1
1,0,0,6,0,2,63887.0,12,897,207,92,15,23,5,0,11,6,9,1962,0
0,1,0,1,0,5,42011.0,4,131,16,39,2,0,4,0,1,8,3,1978,1
1,0,0,2,0,5,51369.0,4,297,79,182,0,7,2,0,11,8,8,1976,1
1,0,0,2,0,2,51537.0,11,787,204,92,0,20,3,0,0,8,2,1952,1
0,0,0,5,0,3,79930.0,8,792,740,17,67,86,1,0,51,2,3,1972,0
0,1,0,0,0,5,34320.0,2,4,9,0,3,1,1,0,0,8,1,1986,1
1,1,0,1,0,4,37070.0,8,231,137,39,4,7,9,0,15,7,5,1966,1
1,0,0,3,0,2,81975.0,4,983,184,27,180,76,1,1,138,7,6,1962,0
0,1,0,0,0,5,38590.0,2,3,8,3,4,1,1,0,3,8,1,1971,1
0,0,0,0,0,4,15033.0,3,0,5,4,6,4,1,0,0,3,1,1951,1
1,0,0,8,0,3,62745.0,11,562,464,32,28,21,3,0,10,5,7,1965,0
0,1,0,0,0,3,22212.0,4,5,20,21,6,9,2,0,8,6,2,1975,1
0,1,0,0,0,5,23661.0,3,18,4,1,0,0,1,0,0,7,1,1982,1
1,0,0,2,0,4,79761.0,11,415,124,11,15,5,1,0,35,3,5,1958,0
0,1,0,1,0,4,7500.0,3,5,10,20,12,3,4,0,7,7,3,1973,1
1,0,0,0,0,4,60182.0,2,8,5,2,7,0,1,0,0,4,1,1893,0
0,0,0,5,0,6,73455.0,10,901,757,20,186,61,1,0,163,3,6,1968,0
1,0,0,4,0,5,64961.0,4,382,276,38,75,114,2,0,124,3,6,1958,0
0,1,0,0,0,4,22804.0,2,14,7,1,2,1,1,0,1,9,2,1971,1
0,0,0,9,0,3,73687.0,9,559,503,181,218,153,1,0,13,2,3,1990,0
1,0,0,5,0,3,61074.0,8,789,133,152,0,0,7,0,28,7,11,1958,0
1,1,0,0,0,3,31686.0,3,11,5,1,0,0,2,0,0,6,1,1964,1
0,1,0,3,0,3,80134.0,6,1218,272,80,104,16,2,1,0,6,5,1972,0
1,0,0,4,0,3,75027.0,6,925,179,77,133,64,2,0,12,5,9,1953,0
0,0,0,10,0,3,67546.0,5,864,768,172,150,134,1,0,38,3,4,1988,0
1,0,0,6,0,5,65176.0,6,960,183,70,220,28,4,0,70,6,9,1969,0
0,1,0,0,0,4,31160.0,3,16,25,13,6,3,2,0,1,8,2,1975,1
0,1,0,0,0,4,29938.0,3,3,7,11,0,3,2,0,2,6,1,1985,1
0,0,0,9,1,2,102692.0,13,168,444,148,32,148,1,1,172,2,6,1974,0
0,0,0,1,0,5,26490.0,5,45,52,25,21,47,2,0,20,6,3,1958,1
1,1,0,6,0,5,75702.0,11,650,353,30,45,28,5,0,42,8,4,1967,0
0,1,0,0,0,4,30899.0,3,24,8,1,0,0,2,0,0,6,1,1974,1
1,0,0,3,0,5,63342.0,5,918,118,21,13,21,3,0,10,6,8,1961,0
1,0,0,2,0,4,45989.0,7,138,87,12,28,33,4,0,24,3,3,1964,1
1,1,0,0,0,4,18701.0,4,12,2,10,10,4,4,0,6,5,2,1964,1
1,2,0,0,0,4,40737.0,2,11,4,2,0,0,1,0,0,8,1,1957,1
0,1,0,1,0,2,15287.0,2,1,8,13,4,2,2,0,3,7,1,1979,1
2,0,0,2,0,2,69674.0,10,554,215,24,11,41,3,0,0,5,10,1968,0
0,1,0,1,0,3,44159.0,6,167,62,7,24,2,4,0,13,5,4,1970,1
0,1,0,0,0,3,37717.0,2,9,6,5,4,0,1,0,1,9,1,1978,1
1,1,0,2,0,5,43776.0,4,177,71,20,3,2,6,0,2,8,5,1952,1
1,1,0,1,0,3,38179.0,3,38,22,20,4,4,4,0,2,7,3,1966,1
0,0,0,7,0,3,80124.0,8,483,398,241,205,84,1,0,84,1,3,1963,0
1,1,0,2,0,3,38097.0,2,77,35,69,0,2,4,0,1,7,3,1970,1
0,0,0,3,0,3,72940.0,6,182,298,116,162,74,1,0,149,1,3,1970,0
0,1,0,2,0,5,22070.0,2,10,19,21,8,7,2,0,2,6,2,1970,1
0,0,0,4,0,4,69267.0,5,778,499,146,95,44,2,0,73,7,3,1953,0
0,1,1,0,0,4,31788.0,4,16,23,6,0,7,3,0,8,5,3,1983,1
1,0,0,2,0,5,61905.0,4,167,43,13,6,0,2,0,2,5,4,1975,0
1,1,0,0,0,3,29315.0,4,13,14,4,8,2,4,0,7,6,2,1960,1
1,1,0,0,0,2,33378.0,4,33,40,10,3,6,3,0,7,7,2,1963,1
1,0,0,3,0,5,66313.0,12,625,99,7,10,7,2,0,22,4,6,1963,0
0,0,0,4,0,4,60714.0,10,216,224,162,101,162,2,0,92,5,7,1956,0
0,0,0,3,0,5,77882.0,5,68,396,15,188,129,1,0,22,1,3,1981,0
0,0,0,5,0,4,69867.0,8,196,512,54,33,0,1,0,130,1,3,1986,0
1,0,0,3,0,2,63841.0,9,635,100,131,20,15,1,0,7,6,9,1968,0
0,1,0,0,0,3,24480.0,4,4,9,17,28,19,3,0,25,7,3,1981,1
1,0,0,2,0,5,51369.0,4,297,79,182,0,7,2,0,11,8,8,1976,1
0,0,0,1,0,5,37760.0,6,84,38,28,150,5,2,0,12,7,4,1946,1
1,0,0,1,0,5,65640.0,8,204,149,66,20,7,1,0,15,2,5,1974,0
1,1,0,0,0,3,44319.0,3,26,8,3,0,0,2,0,0,5,2,1975,1
0,1,0,1,0,3,30631.0,2,15,20,20,4,6,1,0,5,7,3,1974,1
0,0,0,3,0,5,75278.0,13,304,230,74,150,98,1,0,74,3,6,1952,0
1,1,0,2,0,5,50898.0,12,285,242,135,55,28,13,0,114,5,6,1956,1
0,0,0,11,0,6,79946.0,5,395,565,28,166,183,1,0,141,3,5,1966,0
0,0,0,1,0,2,35416.0,5,248,81,51,4,3,3,0,3,8,7,1949,1
0,0,0,0,0,5,32414.0,3,20,5,12,0,6,1,0,9,7,1,1984,1
0,1,0,1,0,5,38361.0,3,39,56,14,20,0,3,0,8,7,3,1969,1
0,0,0,7,0,3,82497.0,9,777,573,203,216,129,1,1,21,4,2,1980,0
0,2,0,0,0,5,16626.0,3,8,22,13,21,3,3,0,1,9,3,1971,1
1,1,0,0,0,5,29672.0,3,9,3,8,0,1,1,0,4,6,0,1965,1
1,0,0,6,1,5,55951.0,11,1241,80,40,0,0,3,0,13,8,3,1952,0
0,1,0,0,0,2,35388.0,3,6,7,8,4,4,1,0,3,7,1,1988,1
0,1,0,0,0,5,42386.0,3,65,16,11,0,4,1,0,4,8,3,1986,1
0,0,0,3,0,4,68627.0,6,395,263,38,60,15,1,0,54,1,2,1982,0
1,0,0,3,0,2,57912.0,12,801,80,35,0,0,5,0,0,5,8,1965,0
1,1,0,1,0,2,35246.0,3,36,12,10,2,0,4,0,2,5,3,1958,1
1,0,0,2,0,5,58821.0,9,513,154,28,19,14,1,0,0,6,9,1956,0
0,1,0,1,0,3,46377.0,3,37,46,0,4,0,1,0,3,4,2,1978,1
0,1,0,1,0,4,39747.0,4,80,93,52,20,15,3,0,13,8,5,1988,1
0,1,0,1,0,5,23976.0,3,14,21,25,2,1,3,0,3,7,3,1984,1
0,0,0,7,0,3,80950.0,9,525,112,63,219,147,1,0,147,2,6,1961,0
0,0,0,0,0,6,27038.0,3,1,25,15,17,26,1,0,23,9,3,1966,1
0,0,0,5,0,4,77457.0,10,675,400,11,15,11,1,1,45,1,2,1947,0
1,0,0,3,0,3,64100.0,6,509,27,10,0,0,1,0,0,7,8,1964,0
0,0,0,2,0,5,42670.0,4,154,46,15,20,2,1,0,4,4,4,1992,1
