OverallQual,GrLivArea,GarageArea,FireplaceQu,BsmtFinType2,TotalBsmtSF,GarageQual,LandSlope,TotRmsAbvGrd,2ndFlrSF,BsmtFinSF1,ExterQual,1stFlrSF,BsmtQual,YearRemodAdd,KitchenQual,GarageCond,YearBuilt,SaleType,LotFrontage,GarageYrBlt,YearRemodAdd_age_in_years,LotArea,BsmtFullBath,CentralAir,GarageCars,KitchenAbvGr,FullBath,Fireplaces,BsmtFinSF2,HeatingQC,MSSubClass,WoodDeckSF,OpenPorchSF,OverallCond,SaleCondition,FireplaceQu_Missing_Flag,BedroomAbvGr,MoSold,ScreenPorch,LowQualFinSF,HalfBath,BsmtUnfSF,EnclosedPorch,YrSold,MiscVal,YrSold_age_in_years,3SsnPorch,SalePrice
5,1228,271,-1,5,1228,4,0,6,0,0,3,1228,3,2006,2,4,1966,8,20.0,1966.0,16,8544,0,1,1,1,1,0,0,2,20,0,65,6,4,1,3,6,0,0,1,1228,0,2008,0,14,0,149350
8,1234,484,-1,5,1234,4,0,7,0,0,2,1234,0,2007,2,4,2007,8,85.0,2007.0,15,11049,0,1,2,1,2,0,0,0,20,0,30,5,4,1,3,1,0,0,0,1234,0,2008,0,14,0,179900
5,1700,447,2,5,1398,4,0,6,0,1018,3,1700,3,1959,2,4,1959,8,70.0,1959.0,63,10552,0,1,2,1,1,1,0,2,20,0,38,5,4,0,4,4,0,0,1,380,0,2010,0,12,0,165500
9,1561,556,2,5,1561,4,0,6,0,1153,0,1561,0,2005,0,4,2005,8,60.0,2005.0,17,7313,1,1,2,1,2,1,0,0,120,203,47,5,4,0,2,8,0,0,0,408,0,2007,0,15,0,277500
8,2452,691,2,5,1117,4,0,9,1320,0,2,1132,0,2005,2,4,2004,8,108.0,2004.0,17,13418,0,1,3,1,3,1,0,0,60,113,32,5,4,0,4,9,0,0,1,1117,0,2006,0,16,0,309000
5,1097,672,-1,5,1097,4,0,6,0,0,3,1097,2,1995,3,4,1994,8,112.0,1995.0,27,10859,0,1,2,1,1,0,0,0,20,392,64,5,4,1,3,6,0,0,1,1097,0,2009,0,13,0,145000
5,1297,498,4,5,1297,4,0,5,0,1213,3,1297,3,1990,3,4,1954,8,74.0,1954.0,32,8532,0,1,2,1,1,1,0,2,20,0,0,6,4,0,3,10,0,0,0,84,0,2009,0,13,0,153000
5,1057,246,-1,5,1057,4,0,5,0,731,3,1057,3,2007,2,4,1953,8,68.0,1953.0,15,7922,1,1,1,1,1,0,0,4,20,0,52,7,0,1,3,1,0,0,0,326,0,2010,0,12,0,109000
4,1152,0,-1,-1,0,-1,0,6,0,0,3,1152,-1,1955,1,-1,1955,8,65.0,1899.0,67,6040,0,0,0,2,2,0,0,4,90,0,0,5,1,1,2,6,0,0,0,0,0,2008,0,14,0,82000
6,1324,440,4,5,1088,4,0,6,0,643,3,1324,3,1965,3,4,1965,8,84.0,1965.0,57,8658,0,1,2,1,2,1,0,0,20,0,138,5,0,0,3,12,0,0,0,445,0,2006,0,16,0,160000
5,1328,308,2,5,1350,4,0,5,0,967,3,1328,3,1959,3,4,1959,8,115.0,1959.0,63,16905,0,1,1,1,1,2,0,2,20,0,104,6,4,0,2,7,0,0,1,383,0,2007,0,15,0,170000
5,884,504,-1,3,840,4,0,5,0,747,3,884,2,1983,2,2,1983,8,20.0,1983.0,39,9180,1,1,2,1,1,0,93,2,85,240,0,7,4,1,2,12,0,0,0,0,0,2007,0,15,0,144000
5,938,308,-1,1,938,4,0,5,0,280,3,938,2,1980,3,4,1975,8,20.0,1977.0,42,9200,1,1,1,1,1,0,491,4,20,145,0,6,4,1,3,7,0,0,0,167,0,2008,0,14,0,130250
5,1150,300,-1,1,1150,4,0,6,0,179,3,1150,3,1959,3,4,1959,8,70.0,1959.0,63,7945,1,1,1,1,1,0,506,0,20,0,0,6,4,1,3,5,0,0,0,465,0,2006,0,16,0,141000
9,1752,576,2,5,1752,4,0,6,0,456,0,1752,0,2005,0,4,2005,8,61.0,2005.0,17,7658,1,1,2,1,2,1,0,0,120,196,82,5,4,0,2,2,0,0,0,1296,0,2010,0,12,0,319900
7,2149,670,0,5,1434,4,0,6,631,1351,2,1518,0,2003,2,4,2003,8,48.0,2003.0,19,12822,1,1,2,1,1,1,0,0,50,168,43,5,0,0,1,8,198,0,1,83,0,2009,0,13,0,239686
8,1656,826,-1,5,1656,4,0,7,0,24,2,1656,2,2006,2,4,2006,8,84.0,2006.0,16,11096,0,1,3,1,2,0,0,0,20,0,146,5,4,1,3,7,0,0,0,1632,0,2007,0,15,0,249700
4,1452,0,-1,5,736,-1,0,8,716,0,3,736,3,2008,3,-1,1920,6,33.0,1899.0,14,4456,0,1,0,3,2,0,0,2,190,0,0,5,5,1,2,6,0,0,0,736,102,2009,0,13,0,113000
5,955,386,-1,5,955,4,0,6,0,763,3,955,3,1966,3,4,1966,8,66.0,1966.0,56,7742,1,1,1,1,1,0,0,0,20,0,0,7,4,1,3,1,0,0,0,192,0,2007,0,15,0,127000
6,1470,388,-1,5,794,4,0,6,676,182,3,794,2,1997,3,4,1997,8,20.0,1997.0,25,13869,0,1,2,1,2,0,0,2,60,0,75,6,4,1,3,7,0,0,0,612,0,2007,0,15,0,177000
6,1176,528,2,5,816,4,0,6,0,0,3,816,3,1950,3,4,1934,8,52.0,1985.0,72,6240,0,1,2,1,1,1,0,4,50,112,0,6,4,0,3,9,0,360,0,816,0,2006,400,16,0,114500
5,816,516,-1,2,816,4,1,5,0,104,1,816,2,1963,3,4,1963,8,110.0,1963.0,59,8472,1,0,2,1,1,0,712,4,90,106,0,5,4,1,2,5,0,0,0,0,0,2010,0,12,0,110000
9,1842,894,2,5,1842,4,0,5,0,1810,2,1842,0,1987,2,4,1981,8,68.0,1981.0,35,50271,2,1,3,1,0,1,0,2,20,857,72,5,4,0,0,11,0,0,1,32,0,2006,0,16,0,385000
5,1360,572,4,5,384,4,1,6,0,384,3,1360,3,1955,3,4,1955,8,60.0,1962.0,67,7134,0,1,2,1,1,1,0,4,80,0,50,5,4,0,3,2,0,0,0,0,0,2007,0,15,0,130000
6,1425,576,2,5,1425,4,0,7,0,490,3,1425,3,1964,3,4,1964,8,100.0,1964.0,58,10175,0,1,2,1,2,1,0,2,20,0,0,5,4,0,3,7,0,0,0,935,0,2008,0,14,407,180500
8,1739,480,-1,5,970,4,0,7,756,649,2,983,2,2000,2,4,1999,8,24.0,1999.0,22,2645,1,1,2,1,2,0,0,0,160,115,0,5,0,1,3,8,0,0,1,321,0,2009,0,13,0,172500
7,1720,565,-1,5,860,4,0,7,860,0,2,860,2,2004,2,4,2004,8,89.0,2004.0,18,11645,0,1,2,1,2,0,0,0,60,0,70,5,4,1,3,8,0,0,1,860,0,2006,0,16,0,196500
10,2945,641,2,5,1410,4,0,10,1519,0,0,1426,0,2006,2,4,2006,6,66.0,2006.0,16,13682,0,1,3,1,3,1,0,0,60,192,0,5,5,0,3,10,0,0,1,1410,37,2006,0,16,0,438780
5,780,352,-1,5,780,4,0,4,0,632,3,780,3,1972,3,4,1972,8,60.0,1973.0,50,7200,0,1,1,1,1,0,0,0,20,196,0,7,4,1,2,1,0,0,0,148,0,2008,0,14,0,124900
6,1158,576,-1,5,1158,4,0,5,0,941,3,1158,2,2004,2,4,2004,6,63.0,2006.0,18,13072,1,1,2,1,1,0,0,0,20,0,50,5,5,1,3,5,0,0,1,217,0,2006,0,16,0,158000
5,1111,288,-1,5,530,4,0,6,530,0,3,581,3,1996,1,4,1920,8,60.0,1935.0,26,7200,0,0,1,1,1,0,0,4,75,0,0,7,4,1,3,3,0,0,0,530,144,2007,0,15,0,101000
8,1370,484,2,5,1370,4,0,6,0,24,2,1370,2,2006,2,4,2006,8,44.0,2006.0,16,6442,0,1,2,1,2,1,0,0,120,120,49,5,4,0,2,10,0,0,0,1346,0,2007,0,15,0,202500
7,1710,480,-1,5,576,4,0,9,808,0,3,902,3,1950,3,4,1921,8,50.0,1990.0,72,10300,0,1,2,1,2,0,0,2,70,12,11,6,4,1,3,4,0,0,0,576,64,2010,0,12,0,140000
7,2034,645,-1,5,1057,4,0,8,977,739,3,1057,2,1998,2,4,1997,8,20.0,1998.0,24,9375,1,1,2,1,2,0,0,0,60,576,36,5,4,1,3,2,0,0,1,318,0,2009,0,13,0,219500
8,2473,852,2,5,1143,4,0,9,1330,0,2,1143,0,2005,2,4,2004,8,76.0,2004.0,17,9591,0,1,3,1,2,1,0,0,60,192,151,5,4,0,4,10,0,0,1,1143,0,2007,0,15,0,317000
7,2207,576,2,5,1947,4,0,7,0,912,3,2207,2,1989,3,4,1970,8,20.0,1970.0,33,19900,1,1,2,1,2,1,0,4,20,301,0,5,4,0,3,7,0,0,0,1035,0,2010,0,12,0,180000
7,1479,558,-1,5,1453,4,0,7,0,1013,2,1479,2,2003,2,4,2003,8,72.0,2003.0,19,10665,1,1,2,1,2,0,0,0,20,144,29,5,4,1,3,6,0,0,0,440,0,2007,0,15,0,226000
4,747,220,-1,5,747,4,0,4,0,0,3,747,3,1950,3,4,1945,8,47.0,1945.0,72,4608,0,1,1,1,1,0,0,4,30,0,0,6,4,1,2,6,0,0,0,747,0,2010,0,12,0,80000
7,2287,667,4,5,1304,4,0,7,983,603,2,1304,3,1953,3,4,1953,8,81.0,1953.0,69,15593,0,1,2,1,2,1,0,4,50,0,21,4,4,0,3,7,0,0,0,701,114,2006,0,16,0,225000
7,2223,516,2,5,2223,4,0,8,0,1880,3,2223,2,1973,3,4,1973,8,95.0,1973.0,49,13651,1,1,2,1,2,2,0,0,20,300,0,6,4,0,3,2,0,0,0,343,0,2007,0,15,0,244000
4,845,360,-1,5,845,4,0,4,0,565,3,845,3,2006,3,4,1982,8,69.0,1987.0,16,7599,1,1,2,1,1,0,0,4,20,0,0,6,4,1,2,6,0,0,0,280,0,2007,0,15,0,129500
7,1718,427,4,5,832,4,0,7,833,0,3,885,2,1998,3,4,1998,8,74.0,1998.0,24,10141,0,1,2,1,2,1,0,2,60,0,94,5,4,0,3,12,291,0,1,832,0,2009,0,13,0,185000
5,1086,490,-1,1,1086,4,0,6,0,320,3,1086,3,2003,3,4,1954,8,85.0,1989.0,19,10200,1,1,2,1,1,0,362,2,20,0,0,7,4,1,3,5,0,0,0,404,0,2010,0,12,0,144900
3,1605,379,-1,5,840,4,0,8,765,0,2,840,1,1950,3,4,1915,8,60.0,1915.0,72,5790,0,0,1,2,2,0,0,2,50,0,0,6,4,1,3,5,0,0,0,840,202,2010,0,12,0,107400
4,988,297,-1,5,462,4,0,5,462,462,3,526,2,1973,3,4,1973,8,21.0,1973.0,49,1596,1,1,1,1,1,0,0,4,180,120,101,5,4,1,2,11,0,0,0,0,0,2009,0,13,0,91000
4,952,283,-1,5,952,4,0,4,0,228,3,952,3,1956,3,4,1956,8,20.0,1956.0,66,8475,0,1,1,1,1,0,0,0,20,0,0,7,4,1,2,4,0,0,0,724,0,2008,0,14,0,135750
5,1285,240,-1,2,672,4,0,6,213,336,3,1072,3,2001,3,4,1948,8,50.0,1948.0,21,8635,1,1,1,1,1,0,41,4,50,0,0,5,4,1,2,1,0,0,0,295,0,2008,0,14,0,127000
4,1768,0,-1,5,1768,-1,0,8,0,0,3,1768,3,1968,3,-1,1968,8,72.0,1899.0,54,10778,0,0,0,2,2,0,0,4,90,0,0,5,4,1,4,4,0,0,0,1768,0,2010,0,12,0,136500
5,1230,440,-1,5,440,4,0,5,548,0,3,682,3,1981,3,4,1910,8,60.0,1966.0,41,10440,0,1,2,1,1,0,0,2,50,74,0,6,4,1,2,5,0,0,1,440,128,2009,0,13,0,110000
6,2142,509,2,5,896,4,0,8,960,448,3,1182,2,1968,2,4,1968,8,100.0,1968.0,54,13000,0,1,1,1,2,1,0,4,60,0,72,6,4,0,4,6,252,0,1,448,0,2009,0,13,0,193500
6,1337,405,-1,5,1237,4,0,5,0,1201,3,1337,0,1998,3,4,1998,8,32.0,1998.0,24,4500,1,1,2,1,2,0,0,0,120,0,199,5,4,1,2,3,0,0,0,36,0,2006,0,16,0,153500
8,1563,758,2,5,1563,4,0,6,0,33,3,1563,2,2007,2,4,2007,8,78.0,2007.0,15,10206,0,1,3,1,2,1,0,0,20,144,99,5,4,0,3,10,0,0,0,1530,0,2008,0,14,0,245000
5,1065,461,-1,5,1065,4,0,6,0,0,3,1065,3,1960,3,4,1960,0,80.0,1974.0,62,8892,0,1,2,1,1,0,0,2,20,74,0,5,4,1,3,7,0,0,1,1065,0,2007,0,15,0,126500
7,1474,400,4,5,384,4,0,7,670,0,3,804,2,1996,3,4,1995,8,20.0,1995.0,26,8530,0,1,2,1,2,1,0,2,80,120,72,5,4,0,3,5,0,0,1,384,0,2009,700,13,0,168500
8,2417,462,4,5,1288,4,0,9,1116,0,2,1301,2,1992,2,4,1991,8,121.0,1991.0,30,16059,0,1,2,1,2,1,0,0,60,127,82,5,4,0,4,4,0,0,1,1288,0,2006,0,16,0,260000
6,1560,400,2,5,684,4,0,6,876,0,2,684,2,2005,2,4,2005,8,122.0,2005.0,17,11911,0,1,2,1,2,1,0,0,60,100,38,5,4,0,3,3,0,0,1,684,0,2009,0,13,0,174000
6,1224,528,-1,5,612,4,0,4,612,0,2,612,2,2009,2,4,2009,6,40.0,2009.0,13,3951,0,1,2,1,2,0,0,0,160,0,234,5,5,1,2,6,0,0,1,612,0,2009,0,13,0,164500
3,1526,0,-1,5,1013,-1,0,6,0,0,1,1013,3,1982,1,-1,1915,3,105.0,1899.0,40,8470,0,0,0,1,1,0,0,4,50,0,0,2,0,1,2,10,0,513,0,1013,156,2009,0,13,0,85000
4,990,0,-1,5,990,-1,0,5,0,588,3,990,2,1995,3,-1,1994,8,60.0,1899.0,27,8070,1,1,0,1,1,0,0,0,20,0,0,5,4,1,3,8,0,0,0,402,0,2007,0,15,0,123600
4,1040,420,-1,-1,0,4,0,4,0,0,3,1040,-1,1950,3,4,1950,8,60.0,1950.0,72,7200,0,1,2,1,1,0,0,4,20,0,29,5,4,1,2,7,0,0,0,0,0,2006,0,16,0,109900
5,1235,480,-1,5,1235,4,0,6,0,600,3,1235,3,1961,3,4,1961,8,85.0,1961.0,61,8500,0,1,2,1,1,0,0,4,20,0,0,3,0,1,2,12,0,0,0,635,0,2006,0,16,0,98600
5,964,432,-1,5,876,4,0,5,0,713,3,964,2,2006,3,4,1921,8,80.0,1921.0,16,13360,1,1,2,1,1,0,0,0,30,0,0,7,4,1,2,8,0,0,0,163,44,2009,0,13,0,163500
6,2291,506,2,5,1214,4,0,9,1031,1046,3,1260,3,1998,3,4,1910,8,60.0,1900.0,24,7200,0,0,2,2,2,1,0,0,190,0,0,6,4,0,4,11,99,0,0,168,0,2007,0,15,0,133900
6,1786,684,-1,5,824,4,0,7,881,648,3,905,2,1997,2,4,1997,8,69.0,1997.0,25,9337,1,1,2,1,2,0,0,0,60,0,162,5,4,1,3,5,0,0,1,176,0,2007,0,15,0,204750
6,1470,420,4,5,680,4,0,6,790,310,0,680,2,1993,3,4,1993,8,20.0,1993.0,29,9765,0,1,2,1,2,1,0,2,60,232,63,8,4,0,3,4,0,0,1,370,0,2009,480,13,0,185000
7,1588,472,-1,5,1588,4,0,6,0,1162,2,1588,2,1999,2,4,1999,8,78.0,1999.0,23,10264,0,1,2,1,2,0,0,0,20,158,29,5,4,1,3,8,0,0,0,426,0,2006,0,16,0,214000
4,960,432,-1,5,960,4,0,6,0,520,3,960,3,1965,3,4,1965,8,73.0,1965.0,57,10921,1,1,1,1,1,0,0,4,20,120,0,5,4,1,3,5,0,0,0,440,0,2007,0,15,0,94750
5,835,366,-1,5,458,1,0,5,0,108,3,835,3,1950,3,4,1920,0,85.0,1920.0,72,10625,0,0,1,1,1,0,0,1,30,0,0,5,0,1,2,5,0,0,0,350,77,2010,400,12,0,83000
4,1225,0,-1,5,950,-1,0,6,0,569,3,1225,3,1959,3,-1,1959,8,77.0,1899.0,63,9320,1,1,0,1,1,0,0,1,20,352,0,5,4,1,3,1,0,0,1,381,0,2010,400,12,0,128950
6,1610,480,4,5,1610,4,0,6,0,1200,3,1610,3,2001,2,4,1977,8,20.0,1977.0,21,10603,1,1,2,1,2,2,0,2,20,168,68,7,4,0,3,2,0,0,0,410,0,2010,0,12,0,205000
6,1732,476,4,5,741,4,0,7,755,0,2,977,2,1985,2,4,1985,8,77.0,1985.0,37,9206,0,1,2,1,2,1,0,4,60,192,46,5,4,0,3,6,0,0,1,741,0,2010,0,12,0,178000
5,1535,410,-1,-1,0,4,0,8,0,0,3,1535,-1,1979,3,4,1979,8,64.0,1979.0,43,7018,0,1,2,2,2,0,0,4,90,0,0,5,2,1,4,6,0,0,0,0,0,2009,0,13,0,118964
7,1226,740,-1,5,1226,4,0,6,0,0,3,1226,2,2009,2,4,2009,8,94.0,2009.0,13,10402,0,1,3,1,2,0,0,0,20,0,36,5,4,1,3,5,0,0,0,1226,0,2010,0,12,0,198900
7,1818,240,4,5,1040,4,0,7,592,224,3,1226,3,1950,3,4,1931,8,20.0,1951.0,72,7758,0,1,1,1,1,2,0,0,50,0,0,4,4,0,4,6,184,0,1,816,0,2007,0,15,0,169500
8,1992,648,2,5,1053,4,0,9,939,0,2,1053,0,2004,2,4,2003,8,75.0,2003.0,18,9375,0,1,2,1,2,1,0,0,60,140,45,5,4,0,3,8,0,0,1,1053,0,2008,0,14,0,250000
4,1047,273,-1,5,641,1,0,6,0,0,3,1047,1,1995,3,1,1885,8,60.0,1954.0,27,10800,0,1,1,1,1,0,0,2,30,0,0,7,4,1,2,8,0,0,0,641,0,2007,450,15,0,100000
5,789,250,-1,1,789,4,0,5,0,104,3,789,3,1950,3,4,1948,8,50.0,1948.0,72,6000,0,1,1,1,1,0,169,0,20,0,0,5,5,1,2,4,0,0,0,516,0,2008,0,14,0,115000
5,1517,0,-1,5,793,-1,0,7,520,0,3,997,3,2005,1,-1,1919,8,85.0,1899.0,17,8500,0,0,0,1,2,0,0,4,50,0,0,7,4,1,3,8,0,0,0,793,144,2007,0,15,0,115000
6,1844,546,4,5,1844,4,0,7,0,705,3,1844,2,1977,3,4,1977,0,105.0,1977.0,45,11751,0,1,2,1,2,1,0,0,20,0,122,6,4,0,3,1,0,0,0,1139,0,2010,0,12,0,190000
6,1855,325,-1,5,994,4,0,7,639,444,3,1216,3,1972,3,4,1954,8,75.0,1954.0,50,9525,0,1,1,1,2,0,0,2,50,182,0,4,4,1,4,10,0,0,0,550,0,2006,0,16,0,136900
7,1430,400,4,5,384,4,0,7,656,250,3,774,2,2000,3,4,2000,8,20.0,2000.0,22,7750,0,1,2,1,2,1,0,0,80,180,0,5,4,0,3,4,0,0,1,134,0,2010,0,12,0,180000
7,2696,792,2,5,1264,4,0,10,1414,984,2,1282,0,2007,0,4,2007,6,77.0,2007.0,15,9965,1,1,3,1,2,1,0,0,60,120,184,5,5,0,4,10,168,0,1,280,0,2007,0,15,0,383970
6,2259,450,2,4,1809,4,0,7,0,35,3,2259,2,1953,2,4,1953,0,20.0,1953.0,69,21000,1,1,2,1,2,2,869,4,20,166,120,5,0,0,3,10,0,0,0,905,192,2007,0,15,0,217000
6,2320,180,4,3,1028,4,1,9,884,774,3,1436,3,2002,2,4,1945,8,61.0,1945.0,20,7259,1,1,1,1,2,1,150,0,70,224,0,8,4,0,3,7,0,0,1,104,0,2007,0,15,0,259500
6,1458,440,1,5,729,4,0,5,729,419,3,729,2,1999,3,4,1999,8,34.0,1999.0,23,3230,0,1,2,1,2,1,0,2,160,0,32,5,4,0,2,6,0,0,1,310,0,2007,0,15,0,176000
5,1092,288,3,1,1092,4,0,6,0,170,3,1092,3,1962,3,4,1962,8,20.0,1962.0,60,11616,0,1,1,1,1,1,670,4,20,0,20,5,4,0,3,9,0,0,0,252,144,2009,0,13,0,139000
5,1125,430,-1,5,1125,4,0,5,0,0,3,1125,2,2007,3,4,2006,6,74.0,2007.0,15,8536,0,1,2,1,1,0,0,2,20,80,64,5,5,1,2,4,0,0,1,1125,0,2007,0,15,0,155000
7,3222,594,4,5,1673,4,0,11,1523,1470,3,1699,2,1990,2,4,1990,8,90.0,1990.0,32,12376,1,1,3,1,3,2,0,2,60,367,0,5,4,0,5,5,0,0,0,203,0,2010,0,12,0,320000
